GeneID,p-value,FDR,FoldChange
Nkx2-1,4.60E-26,3.05E-23,0.05
Msc,1.58E-28,1.78E-25,0.05
Vsnl1,3.04E-42,1.11E-38,0.05
Nkx6-1,8.71E-21,2.54E-18,0.08
Pnliprp1,4.22E-10,1.50E-08,0.08
Ppp1r17,2.44E-14,2.34E-12,0.09
Thbs4,2.09E-12,1.28E-10,0.10
Epha8,3.34E-10,1.22E-08,0.11
Csrp3,1.15E-25,6.71E-23,0.11
Cxcl13,1.92E-27,1.56E-24,0.12
E030019B13Rik,2.53E-09,7.31E-08,0.12
Myl1,2.68E-08,5.72E-07,0.13
Uncx,1.26E-06,1.57E-05,0.13
Oacyl,1.85E-09,5.59E-08,0.13
Gja5,6.44E-18,1.24E-15,0.13
Smpx,2.42E-15,2.87E-13,0.13
Ftcd,3.29E-06,3.58E-05,0.16
Mybphl,2.95E-08,6.19E-07,0.16
Chit1,5.29E-05,3.81E-04,0.17
Pcsk9,2.70E-13,2.09E-11,0.17
Myog,9.12E-05,5.97E-04,0.18
Cacna2d2,1.14E-18,2.44E-16,0.18
Synpo2l,1.81E-16,2.74E-14,0.18
Tnnc1,2.64E-09,7.59E-08,0.19
Foxl1,2.47E-16,3.53E-14,0.19
Apobec2,7.57E-12,4.06E-10,0.19
Mfsd2a,1.04E-05,9.60E-05,0.19
Ppp1r3a,1.70E-04,1.01E-03,0.19
Lrrc10,8.18E-07,1.09E-05,0.19
Trim54,1.79E-04,1.05E-03,0.19
Cckar,1.54E-04,9.26E-04,0.19
Fam162b,2.22E-04,1.26E-03,0.20
Lhx9,3.06E-10,1.13E-08,0.20
Myh3,3.65E-04,1.92E-03,0.20
Actc1,1.06E-12,7.07E-11,0.20
Zfp663,4.86E-06,5.03E-05,0.20
Myo18b,6.58E-09,1.68E-07,0.21
D030025E07Rik,5.04E-11,2.23E-09,0.21
Casq1,6.22E-05,4.37E-04,0.21
Mybph,4.52E-05,3.34E-04,0.22
Gal,1.54E-04,9.28E-04,0.22
Tmem163,1.88E-05,1.60E-04,0.22
Rps6kl1,3.54E-05,2.73E-04,0.22
Ndst4,4.28E-06,4.52E-05,0.22
Fam19a1,8.39E-05,5.56E-04,0.22
Pgam2,7.40E-16,9.72E-14,0.22
Serpina6,1.19E-03,5.20E-03,0.23
Wnt16,2.44E-04,1.36E-03,0.23
Adora1,5.73E-08,1.10E-06,0.23
Myl4,3.78E-24,1.53E-21,0.23
Crhbp,5.51E-04,2.73E-03,0.23
Myh6,1.76E-05,1.51E-04,0.24
Jakmip2,1.46E-07,2.51E-06,0.24
Trdn,5.37E-04,2.67E-03,0.24
Klf1,4.65E-10,1.63E-08,0.24
Ankrd1,4.50E-14,4.00E-12,0.24
Nppa,1.75E-03,7.16E-03,0.24
C130080G10Rik,1.90E-04,1.11E-03,0.24
Meox2,8.09E-07,1.09E-05,0.24
Sh3bgr,3.86E-15,4.33E-13,0.24
Arhgap36,1.58E-05,1.38E-04,0.24
Epb4.2,1.33E-10,5.34E-09,0.25
Ppfia2,3.16E-04,1.70E-03,0.25
Saa1,1.83E-03,7.45E-03,0.25
Gm5127,1.28E-03,5.55E-03,0.25
Cd300e,2.71E-04,1.49E-03,0.25
Icam4,3.91E-04,2.04E-03,0.25
Hspb3,4.76E-04,2.41E-03,0.25
1110008P14Rik,2.36E-13,1.85E-11,0.25
Rspo2,1.65E-17,2.94E-15,0.25
Pirt,3.98E-04,2.06E-03,0.25
Fsd2,1.24E-05,1.12E-04,0.25
Pik3r3,6.07E-35,1.11E-31,0.26
Tnni3,3.00E-10,1.11E-08,0.26
Hcn1,1.46E-10,5.80E-09,0.26
Pcnxl2,7.25E-04,3.45E-03,0.26
Ihh,1.65E-05,1.43E-04,0.26
Actn2,4.24E-05,3.17E-04,0.26
Dbh,1.30E-03,5.63E-03,0.26
Kcng1,1.58E-08,3.66E-07,0.26
Shh,2.04E-17,3.59E-15,0.27
Tubb4a,9.53E-19,2.07E-16,0.27
Fitm1,7.18E-05,4.91E-04,0.27
Plg,6.77E-04,3.26E-03,0.27
Lect2,5.47E-03,1.83E-02,0.27
Etv2,3.37E-05,2.62E-04,0.28
Sstr4,2.87E-03,1.07E-02,0.28
Klhl41,2.00E-04,1.16E-03,0.28
Ap3b2,6.84E-07,9.38E-06,0.28
Ubc,5.57E-19,1.25E-16,0.28
Rasal1,5.54E-04,2.74E-03,0.28
Npy2r,3.04E-03,1.13E-02,0.28
Insc,4.45E-05,3.30E-04,0.28
Aldh1a1,1.18E-05,1.07E-04,0.28
Tdrd12,3.90E-04,2.03E-03,0.28
Fbxl22,8.61E-09,2.12E-07,0.29
Rhbg,4.09E-03,1.44E-02,0.29
Btn1a1,8.90E-04,4.09E-03,0.29
Tbx4,2.77E-06,3.09E-05,0.29
Lama3,2.19E-04,1.25E-03,0.29
Mybpc3,1.01E-06,1.30E-05,0.29
Gcg,7.81E-03,2.44E-02,0.29
Adamts20,4.07E-08,8.16E-07,0.29
Ces1d,3.15E-05,2.47E-04,0.29
Serpina1d,5.87E-03,1.93E-02,0.29
Fgg,2.56E-03,9.83E-03,0.29
Agmo,7.30E-03,2.31E-02,0.29
Cntnap2,3.64E-05,2.79E-04,0.29
Padi3,6.35E-04,3.08E-03,0.29
Afp,2.17E-03,8.59E-03,0.29
Mov10l1,7.86E-04,3.69E-03,0.29
AU021092,6.31E-03,2.05E-02,0.29
Heyl,3.46E-09,9.61E-08,0.29
Wnt2,1.54E-16,2.44E-14,0.30
Csf2rb,4.25E-07,6.30E-06,0.30
Foxj1,5.07E-04,2.55E-03,0.30
Tg,1.81E-04,1.06E-03,0.30
Mylpf,6.81E-06,6.66E-05,0.30
Myl7,1.46E-13,1.19E-11,0.30
Sfrp5,2.55E-04,1.42E-03,0.30
En1,7.31E-03,2.31E-02,0.30
Cited4,2.22E-08,4.89E-07,0.30
Zcchc5,5.22E-03,1.76E-02,0.30
Scd1,2.18E-06,2.52E-05,0.30
Shox2,1.11E-09,3.55E-08,0.30
Ccne1,9.28E-12,4.81E-10,0.31
Sc4mol,5.53E-11,2.40E-09,0.31
Nppb,2.01E-03,8.05E-03,0.31
Snord12,4.37E-07,6.47E-06,0.31
Hs3st2,9.30E-04,4.24E-03,0.31
Klhl30,3.02E-07,4.69E-06,0.31
6030408B16Rik,5.17E-04,2.59E-03,0.31
Steap3,3.23E-06,3.52E-05,0.31
Pcdh10,1.71E-06,2.04E-05,0.31
Fbxo32,4.69E-13,3.38E-11,0.32
Ifitm1,1.86E-07,3.10E-06,0.32
Sp5,4.89E-06,5.06E-05,0.32
Tmem158,2.89E-07,4.52E-06,0.32
Asgr2,7.82E-03,2.45E-02,0.32
Lin7a,8.15E-05,5.43E-04,0.32
Pnmt,1.36E-03,5.86E-03,0.32
Trim10,3.45E-09,9.61E-08,0.33
Ptch2,9.39E-08,1.68E-06,0.33
Pcdhac2,6.94E-03,2.22E-02,0.33
Gldc,1.63E-14,1.62E-12,0.33
Cldn13,9.60E-03,2.89E-02,0.33
Bmx,8.59E-03,2.64E-02,0.33
E130006D01Rik,2.04E-03,8.14E-03,0.33
Krt5,3.19E-03,1.17E-02,0.33
Tagln3,7.47E-10,2.47E-08,0.33
Prr15l,1.05E-02,3.11E-02,0.33
Pax1,8.88E-03,2.71E-02,0.33
Itih2,3.20E-03,1.17E-02,0.33
Xirp1,2.84E-03,1.07E-02,0.33
Grk4,2.10E-03,8.35E-03,0.33
9430076G02Rik,8.87E-04,4.09E-03,0.33
Mvd,4.02E-10,1.44E-08,0.33
Ctse,1.38E-03,5.92E-03,0.34
Mmd2,1.10E-02,3.21E-02,0.34
Ldlr,6.01E-12,3.31E-10,0.34
Fbxo40,2.67E-03,1.02E-02,0.34
Asb2,4.20E-04,2.16E-03,0.34
Myadml2,1.26E-02,3.59E-02,0.34
Hdhd3,3.98E-05,3.01E-04,0.34
Gmpr,5.43E-06,5.49E-05,0.34
Cfc1,1.42E-02,3.96E-02,0.34
Dhcr24,6.53E-20,1.61E-17,0.34
Gulo,7.99E-03,2.49E-02,0.34
Hfe2,5.50E-03,1.84E-02,0.34
Hmgcs2,1.29E-05,1.16E-04,0.34
Kcnn4,4.57E-05,3.37E-04,0.34
Foxd1,6.56E-09,1.68E-07,0.34
Hsd3b1,1.38E-02,3.89E-02,0.34
Pinx1,6.55E-13,4.52E-11,0.34
Snord83b,9.11E-03,2.77E-02,0.34
Mstn,1.73E-03,7.09E-03,0.34
Aqp7,1.43E-02,3.99E-02,0.35
Neto1,1.30E-02,3.70E-02,0.35
Rgn,1.18E-02,3.41E-02,0.35
Cycs,3.19E-04,1.71E-03,0.35
Slfn9,1.06E-11,5.40E-10,0.35
Fam222a,7.59E-09,1.90E-07,0.35
Tecta,1.57E-02,4.32E-02,0.35
Rimbp3,7.37E-03,2.33E-02,0.35
Cck,6.94E-03,2.22E-02,0.35
Sec14l4,8.50E-03,2.62E-02,0.35
Fdps,5.03E-09,1.33E-07,0.35
Magel2,2.03E-11,9.79E-10,0.35
Dpysl4,3.09E-14,2.82E-12,0.35
Ccdc96,2.38E-03,9.26E-03,0.36
Ncrna00086,1.21E-06,1.52E-05,0.36
Sp8,3.28E-03,1.20E-02,0.36
Atp2a1,1.15E-04,7.29E-04,0.36
Grip2,4.72E-03,1.62E-02,0.36
Gm12295,1.40E-02,3.92E-02,0.36
Pvalb,1.05E-02,3.11E-02,0.36
AI848285,1.10E-02,3.21E-02,0.36
2310040G24Rik,1.23E-02,3.52E-02,0.36
Edaradd,2.59E-04,1.44E-03,0.36
Saa2,1.28E-02,3.64E-02,0.37
Gucy2f,9.63E-04,4.37E-03,0.37
Uchl1,1.20E-12,7.89E-11,0.37
Cyb561,7.84E-06,7.51E-05,0.37
Acyp2,1.95E-03,7.85E-03,0.37
Nr1h3,1.38E-04,8.46E-04,0.37
Pax7,1.83E-02,4.87E-02,0.37
Angptl1,7.26E-05,4.95E-04,0.37
Slc25a35,1.29E-02,3.67E-02,0.37
Rec8,9.20E-03,2.79E-02,0.37
Aqp11,4.79E-04,2.42E-03,0.37
A1cf,1.29E-02,3.67E-02,0.37
Prdm8,7.16E-03,2.28E-02,0.37
Adprhl1,7.74E-03,2.42E-02,0.37
Srpk3,4.94E-03,1.68E-02,0.37
Aldh1b1,1.66E-04,9.87E-04,0.37
Kcng2,1.62E-03,6.73E-03,0.37
Lmo3,7.82E-03,2.45E-02,0.37
Taldo1,7.64E-18,1.43E-15,0.37
Lmod2,1.60E-03,6.65E-03,0.37
Acat2,3.54E-11,1.62E-09,0.38
Rem2,5.11E-07,7.40E-06,0.38
Slc25a5,1.18E-17,2.12E-15,0.38
Nsdhl,3.24E-10,1.19E-08,0.38
Best1,1.17E-02,3.38E-02,0.38
Ikzf1,9.61E-05,6.25E-04,0.38
Lrp8,2.03E-10,7.82E-09,0.38
2700046A07Rik,4.34E-03,1.51E-02,0.38
Cntn2,3.34E-06,3.64E-05,0.38
Baalc,1.42E-02,3.96E-02,0.38
Cpa2,3.29E-05,2.57E-04,0.38
Nxpe2,1.25E-02,3.57E-02,0.38
Tnnt2,1.52E-10,6.00E-09,0.38
Cyp4f15,5.81E-03,1.92E-02,0.39
Ldb3,1.15E-07,2.02E-06,0.39
H2-Q1,8.89E-03,2.72E-02,0.39
Sqle,4.00E-12,2.36E-10,0.39
Serpinc1,4.93E-03,1.68E-02,0.39
Htatip2,3.87E-04,2.02E-03,0.39
Cpa1,7.38E-05,5.00E-04,0.39
Spef1,2.14E-08,4.73E-07,0.39
Gcsh,4.61E-11,2.06E-09,0.39
Slc25a29,1.77E-05,1.52E-04,0.39
Actn3,1.00E-03,4.50E-03,0.39
Chchd10,6.89E-07,9.44E-06,0.39
Snora44,1.41E-02,3.95E-02,0.39
Fam124a,2.48E-05,2.01E-04,0.39
Bpgm,1.54E-10,6.06E-09,0.39
Bche,1.69E-05,1.45E-04,0.39
BC022687,2.51E-06,2.83E-05,0.39
Bdh1,4.61E-07,6.78E-06,0.39
0610040J01Rik,1.42E-05,1.26E-04,0.39
Mvk,2.75E-11,1.30E-09,0.39
Ufsp1,1.19E-04,7.49E-04,0.40
Wfdc2,7.27E-03,2.30E-02,0.40
Myl3,9.19E-03,2.79E-02,0.40
Rtn4rl1,5.90E-04,2.89E-03,0.40
Foxf2,8.40E-05,5.56E-04,0.40
2810408I11Rik,4.62E-06,4.82E-05,0.40
Hspb2,3.28E-03,1.20E-02,0.40
Dmrt2,2.91E-03,1.09E-02,0.40
Hmgcs1,1.06E-11,5.40E-10,0.40
Tslp,1.76E-02,4.74E-02,0.40
Tnfrsf19,2.35E-18,4.76E-16,0.40
Ppa1,1.24E-13,1.04E-11,0.40
Mrpl20,1.45E-10,5.77E-09,0.40
Gpr126,2.01E-03,8.05E-03,0.40
Lrrc4,7.51E-04,3.55E-03,0.40
Nap1l5,1.23E-02,3.54E-02,0.40
Ppp1r14b,5.44E-12,3.06E-10,0.40
Slc17a7,1.79E-02,4.79E-02,0.40
Cndp2,4.08E-14,3.65E-12,0.40
Polr2l,9.71E-05,6.31E-04,0.40
Crip1,1.82E-05,1.55E-04,0.40
Vwce,8.88E-04,4.09E-03,0.40
Enpep,1.49E-07,2.57E-06,0.40
Pklr,1.45E-04,8.80E-04,0.40
Ptges2,1.28E-12,8.32E-11,0.41
Tuba1c,5.06E-07,7.32E-06,0.41
Ccdc124,5.52E-15,6.05E-13,0.41
Aldh1a2,1.66E-12,1.04E-10,0.41
Calca,9.04E-03,2.75E-02,0.41
2810417H13Rik,1.51E-07,2.59E-06,0.41
Gm10664,4.74E-05,3.47E-04,0.41
Bysl,7.75E-13,5.31E-11,0.41
Kcne1l,6.64E-07,9.13E-06,0.41
Gpn2,1.24E-12,8.09E-11,0.41
Snord52,1.17E-04,7.38E-04,0.41
Lactb,1.77E-08,4.03E-07,0.41
Rhd,1.45E-03,6.16E-03,0.41
Rab33a,2.24E-03,8.79E-03,0.41
Ermap,5.39E-06,5.46E-05,0.41
Nme1,9.52E-13,6.39E-11,0.41
Akr1b8,1.53E-05,1.34E-04,0.41
Hemgn,1.67E-05,1.45E-04,0.41
Rxfp3,2.60E-03,9.94E-03,0.42
Qprt,3.93E-04,2.04E-03,0.42
Tnnt1,1.45E-03,6.14E-03,0.42
Atp5g1,4.58E-06,4.78E-05,0.42
Ankrd9,5.04E-05,3.66E-04,0.42
Rrm2,2.19E-19,5.07E-17,0.42
Ank1,1.33E-07,2.31E-06,0.42
Pappa2,5.09E-04,2.55E-03,0.42
Itpa,1.51E-09,4.64E-08,0.42
Ggct,3.01E-04,1.63E-03,0.42
Mrps11,4.03E-12,2.37E-10,0.42
Tmem251,1.11E-06,1.41E-05,0.42
Mtfp1,1.05E-07,1.87E-06,0.42
Tll1,2.32E-07,3.77E-06,0.42
Tdo2,8.67E-03,2.66E-02,0.42
Klhl31,3.78E-03,1.35E-02,0.42
Trim55,2.75E-05,2.20E-04,0.42
Dner,1.65E-02,4.50E-02,0.42
Asf1b,1.90E-10,7.38E-09,0.42
3000002C10Rik,6.29E-03,2.04E-02,0.42
Nkain4,8.45E-07,1.12E-05,0.43
Unc45b,6.19E-04,3.01E-03,0.43
Acot7,1.78E-13,1.41E-11,0.43
Foxg1,1.59E-02,4.36E-02,0.43
Grin3b,2.87E-03,1.07E-02,0.43
Kcnip1,7.71E-04,3.64E-03,0.43
Rhag,6.19E-04,3.01E-03,0.43
Lamc3,9.07E-04,4.16E-03,0.43
Dcaf12l1,2.75E-07,4.32E-06,0.43
Snx11,1.19E-13,1.00E-11,0.43
Itgb1bp2,2.11E-03,8.38E-03,0.43
E030030I06Rik,1.48E-02,4.11E-02,0.43
Ndufaf2,1.95E-06,2.29E-05,0.43
Atp5k,5.25E-10,1.81E-08,0.43
Bop1,2.33E-17,4.04E-15,0.43
Marveld3,7.21E-03,2.29E-02,0.43
Mrpl41,2.72E-09,7.75E-08,0.43
Tmem35,7.58E-03,2.38E-02,0.43
Tbl3,4.32E-13,3.20E-11,0.43
Ttc39a,6.53E-06,6.42E-05,0.43
Rps27a,4.92E-08,9.64E-07,0.43
Rspo4,1.23E-02,3.54E-02,0.44
Polr1e,5.77E-08,1.11E-06,0.44
Cenpm,2.99E-08,6.24E-07,0.44
Hsph1,1.84E-20,5.07E-18,0.44
Fam49a,1.06E-09,3.42E-08,0.44
Fabp7,1.03E-02,3.06E-02,0.44
Mal,7.69E-03,2.41E-02,0.44
Pcbd1,5.83E-05,4.14E-04,0.44
AI118078,1.56E-02,4.28E-02,0.44
Ap1s3,1.22E-06,1.53E-05,0.44
Fasn,1.58E-12,9.95E-11,0.44
4930483K19Rik,1.24E-02,3.55E-02,0.44
Clic5,6.72E-03,2.16E-02,0.44
Rpl27,7.18E-06,6.95E-05,0.44
Ntn3,9.99E-10,3.24E-08,0.44
Exosc6,1.64E-10,6.42E-09,0.44
Ccdc12,8.47E-08,1.54E-06,0.44
Tcap,1.33E-02,3.76E-02,0.44
Osr1,4.04E-12,2.37E-10,0.45
Shkbp1,1.94E-15,2.34E-13,0.45
Romo1,5.29E-08,1.03E-06,0.45
Fam195a,3.10E-04,1.67E-03,0.45
Ppp1r14c,4.92E-06,5.08E-05,0.45
Aqp3,4.49E-03,1.55E-02,0.45
Adam1a,5.65E-04,2.79E-03,0.45
Mfsd7b,3.13E-10,1.16E-08,0.45
Pkig,2.78E-06,3.10E-05,0.45
Rasl2-9,7.94E-03,2.48E-02,0.45
Fam89b,4.42E-13,3.23E-11,0.45
Tor3a,1.02E-03,4.59E-03,0.45
Ccnd1,1.22E-12,7.98E-11,0.45
Msrb2,3.05E-06,3.36E-05,0.45
Sept1,1.21E-04,7.60E-04,0.45
Nagpa,1.56E-06,1.89E-05,0.45
Vash2,7.81E-15,8.44E-13,0.45
Tmem100,7.62E-05,5.13E-04,0.45
Slc25a10,5.98E-12,3.31E-10,0.45
Gata5,1.38E-11,6.92E-10,0.45
Letm1,9.40E-11,3.92E-09,0.45
Scn4b,2.75E-03,1.04E-02,0.45
Acpl2,5.96E-09,1.55E-07,0.46
Uqcrq,2.32E-09,6.81E-08,0.46
Homez,5.20E-11,2.30E-09,0.46
Shd,1.39E-05,1.24E-04,0.46
Dancr,1.74E-06,2.07E-05,0.46
Itpka,1.61E-02,4.41E-02,0.46
Phlda2,1.79E-02,4.79E-02,0.46
Serp2,1.26E-03,5.49E-03,0.46
Snord100,4.56E-03,1.57E-02,0.46
Wnt2b,2.69E-05,2.16E-04,0.46
Sac3d1,2.42E-09,7.07E-08,0.46
Doc2a,2.13E-10,8.13E-09,0.46
Bad,1.39E-08,3.28E-07,0.46
Rpia,7.53E-07,1.02E-05,0.46
Lipg,1.47E-04,8.91E-04,0.46
Cyb5b,2.13E-13,1.68E-11,0.46
Isyna1,5.56E-13,3.90E-11,0.46
Tm7sf2,1.18E-06,1.49E-05,0.46
Ppp1r1a,2.41E-05,1.97E-04,0.46
Idh1,1.62E-10,6.36E-09,0.46
Pno1,5.00E-10,1.73E-08,0.46
Gja4,2.39E-04,1.34E-03,0.47
Usmg5,3.78E-05,2.87E-04,0.47
Tst,8.53E-05,5.64E-04,0.47
Edf1,1.20E-08,2.88E-07,0.47
Mns1,2.30E-07,3.74E-06,0.47
Mrpl12,4.69E-09,1.26E-07,0.47
Ciapin1,2.78E-15,3.27E-13,0.47
Sncg,4.12E-03,1.44E-02,0.47
Fdft1,9.31E-08,1.67E-06,0.47
Tmem50b,4.62E-14,4.08E-12,0.47
Mgat5b,1.45E-04,8.83E-04,0.47
Tuba4a,2.86E-05,2.28E-04,0.47
Dhrs4,9.13E-12,4.75E-10,0.47
Aven,5.35E-07,7.67E-06,0.47
Pcolce2,2.61E-03,9.96E-03,0.47
Hspb7,2.85E-04,1.56E-03,0.47
Cdk2ap2,1.31E-10,5.29E-09,0.47
Nutf2,1.53E-08,3.58E-07,0.47
2210016F16Rik,7.72E-08,1.42E-06,0.47
Nhp2,1.14E-10,4.67E-09,0.47
Slmo2,8.36E-13,5.64E-11,0.47
Thbd,1.53E-06,1.86E-05,0.47
Sh2d5,1.60E-03,6.64E-03,0.48
Snord104,2.41E-03,9.35E-03,0.48
Acta1,1.69E-02,4.58E-02,0.48
Fads2,8.62E-15,9.24E-13,0.48
Snord87,1.15E-02,3.34E-02,0.48
Scn5a,1.55E-03,6.48E-03,0.48
Foxh1,9.21E-03,2.79E-02,0.48
Atp1b1,1.81E-12,1.12E-10,0.48
Tpgs2,2.66E-10,9.96E-09,0.48
Hmg20b,1.38E-14,1.39E-12,0.48
Hba-x,1.29E-03,5.59E-03,0.48
Sec13,1.08E-14,1.12E-12,0.48
Gata1,6.34E-04,3.08E-03,0.48
Tuba1a,2.29E-14,2.22E-12,0.48
Rrad,1.19E-03,5.20E-03,0.48
Dusp9,3.91E-12,2.32E-10,0.48
Rspo1,3.97E-10,1.43E-08,0.48
Smcr7,5.70E-09,1.49E-07,0.48
Bves,1.00E-07,1.78E-06,0.48
Snf8,3.15E-07,4.85E-06,0.48
Aacs,1.46E-06,1.78E-05,0.48
Plaur,8.96E-04,4.12E-03,0.48
Bok,6.38E-06,6.28E-05,0.49
Sgk1,2.06E-08,4.59E-07,0.49
Loh12cr1,1.09E-04,6.95E-04,0.49
Tk1,1.44E-10,5.75E-09,0.49
Rbmxl1,8.24E-11,3.47E-09,0.49
Gdnf,1.31E-04,8.13E-04,0.49
Cdk2ap1,1.61E-04,9.62E-04,0.49
Trmt61a,2.74E-07,4.31E-06,0.49
Hopx,8.16E-03,2.53E-02,0.49
2700094K13Rik,3.31E-10,1.21E-08,0.49
Dbi,6.02E-10,2.05E-08,0.49
Prr7,1.36E-03,5.86E-03,0.49
Rbm38,1.06E-11,5.40E-10,0.49
Ankdd1b,7.35E-03,2.32E-02,0.49
Sdhaf1,4.83E-06,5.01E-05,0.49
Mrpl34,1.80E-09,5.44E-08,0.49
Slc4a1,4.28E-03,1.49E-02,0.49
Rpp25l,2.78E-11,1.30E-09,0.49
Cdc34,1.96E-10,7.56E-09,0.49
Scara3,4.06E-06,4.31E-05,0.49
Abcg4,1.58E-03,6.58E-03,0.49
Tmem121,2.54E-04,1.42E-03,0.49
Sigmar1,2.11E-10,8.07E-09,0.49
Rpusd3,1.09E-04,6.94E-04,0.49
Gsta4,3.03E-05,2.39E-04,0.49
Srxn1,3.33E-05,2.60E-04,0.49
Myb,9.59E-04,4.35E-03,0.49
Rcc1,4.76E-13,3.42E-11,0.49
Arl2bp,1.14E-11,5.77E-10,0.49
Fam110a,4.70E-08,9.26E-07,0.49
Dhcr7,2.30E-09,6.75E-08,0.49
Gm10069,1.37E-02,3.85E-02,0.49
Pop5,3.64E-07,5.52E-06,0.49
Txnrd1,4.05E-17,6.88E-15,0.49
Tbcb,7.69E-11,3.25E-09,0.49
Ccdc25,6.45E-10,2.18E-08,0.49
Gltp,1.73E-14,1.70E-12,0.49
1810019D21Rik,1.68E-02,4.57E-02,0.49
Tmem14c,1.10E-09,3.54E-08,0.49
Sec14l2,1.82E-03,7.40E-03,0.49
Dok3,2.61E-03,9.96E-03,0.49
Trim7,3.14E-05,2.47E-04,0.50
Cap2,1.46E-07,2.51E-06,0.50
Samd10,1.50E-06,1.82E-05,0.50
Arg1,2.23E-05,1.84E-04,0.50
Idi1,1.02E-02,3.04E-02,0.50
E130309D02Rik,1.69E-13,1.36E-11,0.50
Snrpa1,1.34E-08,3.18E-07,0.50
Foxf1,6.83E-06,6.67E-05,0.50
Psmb3,2.43E-07,3.92E-06,0.50
Psmb5,1.99E-06,2.33E-05,0.50
3425401B19Rik,1.10E-02,3.22E-02,0.50
Fzd10,5.20E-04,2.60E-03,0.50
Ccdc141,1.70E-05,1.46E-04,0.50
Hsd17b7,5.13E-08,1.00E-06,0.50
Slc35b1,8.98E-12,4.70E-10,0.50
Pradc1,1.67E-05,1.45E-04,0.50
Lsp1,1.32E-10,5.32E-09,0.50
Aim2,1.86E-02,4.96E-02,0.50
Polr2k,5.92E-03,1.95E-02,0.50
Cd83,4.96E-03,1.69E-02,0.50
Wnt4,1.27E-05,1.14E-04,0.50
Fen1,3.64E-15,4.24E-13,0.50
Cox5a,1.58E-09,4.83E-08,0.50
Snora61,1.72E-02,4.65E-02,0.50
Kcnmb4,9.15E-05,5.98E-04,0.50
Hspa12a,8.77E-05,5.78E-04,0.50
Alpk2,8.07E-04,3.77E-03,0.50
Ddit4l,6.73E-03,2.17E-02,0.50
Ppm1g,6.53E-10,2.20E-08,0.51
