GeneID,p-value,FDR,FoldChange
Trim63,2.88E-03,1.08E-02,0.51
Slc39a8,8.95E-06,8.40E-05,0.51
Uqcr11,3.21E-08,6.64E-07,0.51
Dhx29,8.08E-09,2.01E-07,0.51
Hspb1,1.14E-02,3.31E-02,0.51
Cby1,1.64E-07,2.77E-06,0.51
Fam118b,3.61E-07,5.49E-06,0.51
Idh3a,7.92E-13,5.39E-11,0.51
4933417G07Rik,3.36E-03,1.22E-02,0.51
Rrp12,1.38E-09,4.30E-08,0.51
Glo1,8.54E-03,2.63E-02,0.51
Lig4,5.67E-08,1.10E-06,0.51
Fam20c,4.08E-04,2.11E-03,0.51
Nubp1,1.99E-12,1.22E-10,0.51
Gmppb,1.35E-07,2.33E-06,0.51
9330159F19Rik,1.73E-02,4.66E-02,0.51
Ndufa5,2.93E-08,6.16E-07,0.51
Xk,7.78E-04,3.67E-03,0.51
Tubb2a-ps2,1.60E-09,4.89E-08,0.51
Alpl,5.18E-06,5.29E-05,0.51
Akirin1,2.57E-06,2.89E-05,0.51
Fam115c,8.20E-07,1.09E-05,0.51
Eva1a,8.06E-03,2.51E-02,0.51
Gpd1l,7.56E-08,1.39E-06,0.51
Bex4,1.04E-03,4.63E-03,0.51
Tmem160,4.46E-07,6.58E-06,0.51
Relt,1.15E-03,5.04E-03,0.51
Ush1c,8.48E-03,2.62E-02,0.51
Crip2,4.80E-07,6.99E-06,0.51
Smpdl3b,5.63E-03,1.87E-02,0.51
Nos3,6.35E-07,8.83E-06,0.51
Psmc5,3.22E-11,1.49E-09,0.51
Pde9a,1.29E-03,5.59E-03,0.51
Lss,2.11E-04,1.21E-03,0.51
Ccdc86,2.38E-07,3.86E-06,0.51
Ripply3,1.91E-03,7.69E-03,0.51
Glrx5,1.63E-07,2.77E-06,0.51
Fam131b,4.41E-04,2.25E-03,0.51
Fam64a,5.73E-14,4.98E-12,0.51
Psmd13,2.82E-14,2.62E-12,0.51
Snhg4,2.86E-05,2.28E-04,0.52
Rplp0,3.98E-14,3.60E-12,0.52
Gimap9,6.85E-04,3.29E-03,0.52
Timm13,6.88E-08,1.29E-06,0.52
Grrp1,2.36E-05,1.94E-04,0.52
Pop7,2.37E-06,2.69E-05,0.52
Tmem223,5.79E-07,8.19E-06,0.52
Ndufaf4,9.86E-07,1.28E-05,0.52
Cox7a2,3.72E-07,5.62E-06,0.52
Cyp51,3.40E-06,3.70E-05,0.52
Timm10,7.00E-09,1.77E-07,0.52
9630033F20Rik,2.71E-07,4.28E-06,0.52
Znhit2,5.72E-06,5.73E-05,0.52
Tmem97,1.55E-05,1.36E-04,0.52
Vtn,1.31E-03,5.67E-03,0.52
Maob,1.10E-02,3.22E-02,0.52
Kcnj5,5.15E-03,1.74E-02,0.52
Sssca1,1.77E-07,2.97E-06,0.52
Cib1,1.01E-06,1.30E-05,0.52
Zfyve28,9.87E-03,2.96E-02,0.52
Ube2n,8.22E-09,2.04E-07,0.52
Ube2f,8.17E-07,1.09E-05,0.52
Cryab,3.67E-04,1.93E-03,0.52
Tppp3,4.96E-04,2.50E-03,0.52
Nfatc2ip,2.90E-08,6.10E-07,0.52
Pcyt2,1.99E-05,1.67E-04,0.52
Pygm,1.53E-03,6.42E-03,0.52
Ahsa1,2.91E-13,2.23E-11,0.52
Tmod1,1.15E-04,7.28E-04,0.52
Mcts2,9.43E-07,1.23E-05,0.52
Polr2i,4.75E-07,6.95E-06,0.52
Wnt7b,5.29E-03,1.78E-02,0.52
Fanca,2.71E-05,2.17E-04,0.52
Dctpp1,8.84E-08,1.60E-06,0.52
Lsm6,1.40E-08,3.32E-07,0.52
Abhd8,8.41E-07,1.12E-05,0.52
Ercc8,2.48E-08,5.35E-07,0.52
Tubg1,7.80E-12,4.15E-10,0.53
Aarsd1,2.91E-09,8.23E-08,0.53
Rhpn1,3.59E-05,2.76E-04,0.53
Ndufa1,2.65E-08,5.66E-07,0.53
Rnd2,5.58E-05,3.99E-04,0.53
Fam174b,2.94E-08,6.17E-07,0.53
Frk,3.23E-03,1.18E-02,0.53
Tubb4b,1.87E-08,4.24E-07,0.53
Snn,1.21E-15,1.50E-13,0.53
Gna14,4.18E-05,3.14E-04,0.53
Klhdc4,2.62E-05,2.11E-04,0.53
Abcb10,2.46E-09,7.17E-08,0.53
Dnajb5,7.99E-08,1.46E-06,0.53
Sc5d,4.04E-07,6.03E-06,0.53
Phf5a,3.54E-10,1.29E-08,0.53
Hmgcr,7.30E-07,9.93E-06,0.53
Exosc1,3.77E-08,7.62E-07,0.53
BC002163,2.16E-04,1.23E-03,0.53
Ddt,2.74E-05,2.19E-04,0.53
Qrsl1,1.57E-07,2.66E-06,0.53
Coprs,6.13E-07,8.57E-06,0.53
Spta1,1.44E-03,6.12E-03,0.53
Gsg2,1.20E-08,2.88E-07,0.53
Gtf2a2,2.87E-05,2.28E-04,0.53
Rnaseh2c,8.86E-06,8.33E-05,0.53
Dpf1,4.77E-07,6.95E-06,0.53
Apex1,1.02E-10,4.23E-09,0.53
Gal3st3,4.89E-04,2.47E-03,0.53
Slc26a6,5.50E-04,2.73E-03,0.53
Epb4.9,5.56E-06,5.60E-05,0.53
Cetn2,2.70E-06,3.02E-05,0.53
Tsfm,8.29E-10,2.72E-08,0.53
Nat8l,3.03E-03,1.12E-02,0.53
Nubp2,4.16E-10,1.48E-08,0.53
Tdrd1,2.27E-03,8.91E-03,0.53
Sf3b4,3.74E-09,1.03E-07,0.53
Wbscr22,4.98E-10,1.73E-08,0.53
Cox6c,1.05E-06,1.35E-05,0.53
Snhg3,1.66E-04,9.87E-04,0.53
Cfb,4.30E-03,1.50E-02,0.53
Unc45a,6.84E-10,2.29E-08,0.53
Lyar,2.80E-08,5.93E-07,0.53
Bola1,7.96E-05,5.32E-04,0.53
Rasl11a,1.18E-03,5.18E-03,0.53
Erh,1.95E-04,1.13E-03,0.53
Mpi,2.03E-09,6.06E-08,0.54
Nudt22,2.33E-04,1.31E-03,0.54
Ube2l3,2.90E-10,1.08E-08,0.54
Kti12,5.23E-11,2.30E-09,0.54
Rangap1,2.13E-16,3.14E-14,0.54
Atox1,2.81E-09,7.99E-08,0.54
Kbtbd8,6.85E-05,4.73E-04,0.54
Fez1,7.08E-03,2.26E-02,0.54
Sdf2l1,6.22E-11,2.68E-09,0.54
Myocd,1.16E-03,5.09E-03,0.54
Rtn1,1.75E-03,7.16E-03,0.54
Trp53rk,1.34E-03,5.77E-03,0.54
Art5,1.60E-02,4.39E-02,0.54
Eif5a,1.31E-08,3.12E-07,0.54
Ttpal,1.58E-07,2.69E-06,0.54
Wdr6,1.11E-17,2.02E-15,0.54
Ucp2,8.56E-07,1.13E-05,0.54
Adcy7,2.31E-04,1.31E-03,0.54
Arpc5l,3.15E-07,4.85E-06,0.54
Slc38a5,3.21E-03,1.17E-02,0.54
Ppil1,9.57E-12,4.93E-10,0.54
Tex30,2.49E-05,2.02E-04,0.54
Ptrh2,1.19E-12,7.85E-11,0.54
Gyg,1.14E-10,4.67E-09,0.54
Gcat,4.21E-07,6.25E-06,0.54
Hsd11b2,6.70E-06,6.55E-05,0.54
Pcbp4,4.05E-09,1.10E-07,0.54
Map2k2,1.53E-08,3.58E-07,0.54
Brms1,4.68E-09,1.25E-07,0.54
Flywch2,3.97E-03,1.40E-02,0.54
Trp53inp2,9.98E-12,5.12E-10,0.54
Pitpnm1,2.38E-03,9.26E-03,0.54
Ndufa11,1.06E-06,1.35E-05,0.54
Ppargc1a,6.42E-04,3.11E-03,0.54
Pdss1,1.68E-05,1.45E-04,0.54
Tal1,1.75E-05,1.51E-04,0.54
Usp43,1.41E-02,3.96E-02,0.54
Rimkla,1.53E-02,4.21E-02,0.54
Ssna1,1.07E-07,1.90E-06,0.54
1500032L24Rik,1.24E-06,1.55E-05,0.55
Gamt,2.29E-04,1.29E-03,0.55
2610019E17Rik,5.16E-03,1.74E-02,0.55
1810022K09Rik,2.08E-03,8.27E-03,0.55
Zfp599,1.36E-04,8.35E-04,0.55
Snrpb,2.13E-11,1.02E-09,0.55
Ret,9.89E-04,4.46E-03,0.55
Rbm43,1.06E-03,4.71E-03,0.55
Asb13,1.05E-06,1.35E-05,0.55
Dnaja4,3.47E-04,1.84E-03,0.55
Nup93,1.16E-11,5.87E-10,0.55
Rps12,1.04E-03,4.65E-03,0.55
Swsap1,1.37E-04,8.39E-04,0.55
Ndufa4,7.81E-09,1.95E-07,0.55
Glrx,5.48E-05,3.93E-04,0.55
1700086O06Rik,1.17E-03,5.15E-03,0.55
Mdh2,6.32E-11,2.72E-09,0.55
Nkain1,1.91E-08,4.33E-07,0.55
Mrpl22,1.98E-05,1.67E-04,0.55
Hspbp1,1.27E-09,3.99E-08,0.55
Cacybp,6.64E-07,9.13E-06,0.55
Zfp385a,5.12E-08,9.99E-07,0.55
N6amt2,9.73E-07,1.26E-05,0.55
Guk1,6.97E-07,9.50E-06,0.55
Nedd8,3.94E-08,7.93E-07,0.55
Kel,4.95E-03,1.68E-02,0.55
Rps27l,2.81E-08,5.93E-07,0.55
Stox1,7.20E-03,2.29E-02,0.55
Tyms,1.25E-13,1.04E-11,0.55
Mrps12,1.65E-06,1.97E-05,0.55
Rexo2,8.86E-10,2.89E-08,0.55
Sarm1,1.34E-02,3.77E-02,0.55
Gtf3c6,3.50E-09,9.68E-08,0.55
Cyc1,2.85E-09,8.11E-08,0.55
Jagn1,6.49E-07,8.98E-06,0.55
D030028A08Rik,1.84E-03,7.48E-03,0.55
Ehd1,1.31E-09,4.10E-08,0.55
Ppp2r1b,5.35E-13,3.77E-11,0.55
Lhx6,2.82E-03,1.06E-02,0.55
Nme3,4.61E-06,4.81E-05,0.55
C630043F03Rik,8.59E-06,8.14E-05,0.55
Rrp9,1.67E-05,1.45E-04,0.55
Med8,2.08E-08,4.62E-07,0.55
Tecrl,4.84E-05,3.54E-04,0.55
Atp5j2,8.89E-08,1.60E-06,0.55
Myo5c,3.92E-03,1.38E-02,0.56
Ctu2,1.70E-08,3.89E-07,0.56
Gca,3.19E-03,1.17E-02,0.56
Smox,5.69E-09,1.49E-07,0.56
Phb,3.03E-08,6.32E-07,0.56
Lhfp,1.78E-06,2.10E-05,0.56
Rps16,1.33E-03,5.74E-03,0.56
Lgr5,1.46E-02,4.05E-02,0.56
Tssc1,7.57E-05,5.11E-04,0.56
Emc8,3.94E-16,5.52E-14,0.56
Rps4y2,1.47E-06,1.80E-05,0.56
Col9a1,1.65E-04,9.81E-04,0.56
Hras1,1.57E-08,3.62E-07,0.56
Psmc4,6.96E-10,2.32E-08,0.56
Sost,9.24E-04,4.22E-03,0.56
Pir,5.88E-03,1.93E-02,0.56
4833439L19Rik,2.44E-09,7.12E-08,0.56
Tyms-ps,3.51E-06,3.79E-05,0.56
Psmc2,1.00E-08,2.45E-07,0.56
Mrto4,4.89E-06,5.06E-05,0.56
Tubb2b,7.86E-10,2.59E-08,0.56
Rbp1,2.11E-07,3.48E-06,0.56
Mad1l1,7.84E-12,4.16E-10,0.56
Wdr18,2.08E-09,6.17E-08,0.56
Pla2g16,2.36E-03,9.20E-03,0.56
Acot1,1.52E-03,6.39E-03,0.56
Fam72a,1.20E-03,5.26E-03,0.56
Dhrs11,1.88E-03,7.60E-03,0.56
Taf9b,1.52E-03,6.39E-03,0.56
Blvrb,4.46E-05,3.31E-04,0.56
Car2,6.37E-04,3.08E-03,0.56
Nmral1,9.38E-11,3.92E-09,0.56
Cad,2.46E-07,3.95E-06,0.56
Tex9,2.77E-08,5.87E-07,0.56
Mrpl4,1.94E-08,4.39E-07,0.56
Atp5e,1.61E-06,1.94E-05,0.56
Alad,2.03E-04,1.17E-03,0.56
Tbx18,2.74E-06,3.05E-05,0.56
Pde12,1.99E-08,4.46E-07,0.56
Aen,5.50E-07,7.86E-06,0.56
Zbtb42,1.05E-03,4.69E-03,0.56
Mrps28,1.34E-05,1.20E-04,0.56
1110008F13Rik,5.21E-06,5.30E-05,0.56
Pgd,2.70E-14,2.54E-12,0.56
Asna1,1.14E-09,3.63E-08,0.56
Dnph1,1.04E-05,9.56E-05,0.56
Taf12,3.61E-07,5.48E-06,0.56
Abcf2,5.36E-11,2.34E-09,0.56
Sephs2,4.51E-09,1.22E-07,0.56
Eif2b2,1.19E-09,3.79E-08,0.56
A730017C20Rik,1.04E-03,4.64E-03,0.56
Acsl5,2.37E-07,3.84E-06,0.56
Sh3bgrl2,3.94E-06,4.20E-05,0.56
Rtca,4.49E-08,8.94E-07,0.56
Fbxo34,1.94E-05,1.63E-04,0.56
Gtf2f2,2.12E-06,2.45E-05,0.56
Ncs1,7.81E-12,4.15E-10,0.57
Zcchc17,8.50E-06,8.07E-05,0.57
Pgp,1.34E-04,8.28E-04,0.57
D8Ertd738e,2.46E-07,3.95E-06,0.57
Mrpl18,5.60E-07,7.98E-06,0.57
Rpa1,9.82E-15,1.04E-12,0.57
Fam53a,8.19E-07,1.09E-05,0.57
Cisd1,2.53E-05,2.05E-04,0.57
Slc52a2,5.32E-05,3.83E-04,0.57
Olfml2b,2.45E-05,1.99E-04,0.57
9130401M01Rik,8.60E-06,8.14E-05,0.57
Slirp,1.52E-05,1.34E-04,0.57
Dnajc9,1.23E-08,2.96E-07,0.57
Ebp,3.10E-05,2.45E-04,0.57
Lhpp,1.34E-04,8.26E-04,0.57
Adrm1,2.11E-05,1.76E-04,0.57
Wdr46,4.95E-09,1.31E-07,0.57
Il13ra1,1.56E-04,9.35E-04,0.57
Shisa4,6.86E-06,6.68E-05,0.57
Nkrf,1.44E-05,1.27E-04,0.57
Sbk1,4.04E-14,3.64E-12,0.57
Tmem216,4.36E-06,4.60E-05,0.57
Cox6a1,2.46E-07,3.95E-06,0.57
Tmed2,1.10E-03,4.87E-03,0.57
Fbl,2.09E-04,1.20E-03,0.57
Tomm40l,9.80E-10,3.18E-08,0.57
Ung,4.06E-07,6.05E-06,0.57
Med29,2.06E-04,1.19E-03,0.57
Sdhb,2.52E-07,4.03E-06,0.57
Spsb4,4.49E-08,8.94E-07,0.57
Nme2,1.97E-06,2.31E-05,0.57
Cdk5r1,2.62E-04,1.45E-03,0.57
Tomm40,8.84E-08,1.60E-06,0.57
Mllt1,8.10E-14,6.90E-12,0.57
Rab38,1.88E-02,4.98E-02,0.57
Smoc1,2.57E-04,1.43E-03,0.57
L3mbtl2,6.82E-09,1.73E-07,0.57
Psmg3,2.06E-08,4.59E-07,0.57
Gstp1,6.85E-06,6.68E-05,0.57
Limd2,6.55E-10,2.21E-08,0.57
Slc16a12,2.41E-04,1.35E-03,0.57
Gdpgp1,5.94E-04,2.90E-03,0.57
Mrpl36,4.84E-05,3.53E-04,0.57
Dbn1,8.22E-16,1.07E-13,0.57
Fam117a,4.35E-05,3.24E-04,0.57
Ogdh,2.00E-18,4.15E-16,0.58
Atp5g3,9.91E-09,2.42E-07,0.58
Nde1,9.29E-12,4.81E-10,0.58
L1td1,7.36E-03,2.33E-02,0.58
Ranbp1,5.62E-07,8.00E-06,0.58
Dcakd,2.14E-12,1.31E-10,0.58
Panx1,3.07E-07,4.76E-06,0.58
Rogdi,1.29E-05,1.16E-04,0.58
Ddx39,1.97E-08,4.44E-07,0.58
Ddx21,2.57E-07,4.10E-06,0.58
Pomp,1.68E-07,2.84E-06,0.58
Psmc3,7.11E-12,3.85E-10,0.58
Gstt2,1.44E-02,4.03E-02,0.58
Ptpn1,6.14E-12,3.35E-10,0.58
Nt5c,1.48E-04,8.94E-04,0.58
Pkia,8.30E-07,1.11E-05,0.58
Tubb3,1.66E-03,6.87E-03,0.58
Mbnl3,3.45E-06,3.74E-05,0.58
Gstm7,2.63E-03,1.00E-02,0.58
Cdc6,7.39E-12,3.97E-10,0.58
Camkk2,2.85E-11,1.33E-09,0.58
Dph3,1.52E-07,2.60E-06,0.58
Reep6,1.36E-03,5.85E-03,0.58
Snapc5,9.74E-05,6.32E-04,0.58
Arrdc4,3.10E-03,1.14E-02,0.58
Elof1,5.87E-08,1.13E-06,0.58
2310011J03Rik,9.03E-07,1.18E-05,0.58
Neto2,6.21E-05,4.36E-04,0.58
Wrap53,6.87E-08,1.29E-06,0.58
Polr2f,2.46E-05,2.00E-04,0.58
Efna4,7.59E-06,7.29E-05,0.58
Rnf187,3.85E-10,1.39E-08,0.58
Art4,2.09E-03,8.32E-03,0.58
1810043H04Rik,1.39E-03,5.94E-03,0.58
Alyref2,1.01E-02,3.02E-02,0.58
Cpne5,1.01E-02,3.02E-02,0.58
Ublcp1,3.84E-03,1.36E-02,0.58
Rmdn2,2.28E-03,8.94E-03,0.58
Dpm2,7.04E-08,1.32E-06,0.58
Nop9,8.44E-08,1.54E-06,0.58
Umps,5.26E-13,3.72E-11,0.58
Inip,3.74E-09,1.03E-07,0.58
Nphp1,3.93E-06,4.19E-05,0.58
Bola2,7.57E-05,5.11E-04,0.58
Clp1,1.33E-07,2.32E-06,0.58
Ccdc101,1.01E-05,9.38E-05,0.58
Atp5o,6.70E-08,1.26E-06,0.58
Haus4,6.35E-05,4.44E-04,0.58
Ndufb6,3.84E-08,7.75E-07,0.58
Klhl25,1.60E-07,2.71E-06,0.58
Grwd1,5.90E-07,8.31E-06,0.58
Srm,1.51E-06,1.83E-05,0.58
Hcn4,1.48E-03,6.26E-03,0.58
Map1a,1.24E-05,1.12E-04,0.58
Cbx2,3.29E-13,2.46E-11,0.58
Aes,1.67E-06,2.00E-05,0.58
Ptp4a1,5.34E-03,1.79E-02,0.58
Psmb10,2.79E-03,1.05E-02,0.59
Ttpa,6.29E-03,2.05E-02,0.59
Uqcrb,2.38E-03,9.24E-03,0.59
Insig1,5.71E-04,2.82E-03,0.59
Mrps21,1.02E-06,1.31E-05,0.59
Ttyh2,3.08E-03,1.14E-02,0.59
1810009A15Rik,3.59E-05,2.76E-04,0.59
Ost4,4.62E-05,3.40E-04,0.59
Stra6,3.89E-08,7.83E-07,0.59
Ykt6,1.50E-11,7.47E-10,0.59
Ddx31,1.78E-06,2.11E-05,0.59
2810428I15Rik,2.20E-04,1.25E-03,0.59
Rpl34,3.78E-03,1.35E-02,0.59
Gpx1,7.40E-06,7.13E-05,0.59
Dnajc15,7.53E-05,5.09E-04,0.59
Mrpl16,2.16E-07,3.54E-06,0.59
Pank1,2.52E-05,2.04E-04,0.59
Mycl1,9.14E-05,5.98E-04,0.59
Ppfia3,1.68E-02,4.55E-02,0.59
Nans,3.82E-12,2.29E-10,0.59
Mrps24,4.78E-05,3.49E-04,0.59
Slc25a39,7.92E-07,1.07E-05,0.59
Scly,6.27E-05,4.39E-04,0.59
Trim62,1.40E-04,8.56E-04,0.59
Nop10,5.85E-05,4.16E-04,0.59
Fndc4,2.48E-07,3.98E-06,0.59
Tomm5,6.78E-05,4.69E-04,0.59
Smim11,2.98E-04,1.61E-03,0.59
Pcyt1b,3.35E-05,2.61E-04,0.59
Ethe1,5.84E-04,2.87E-03,0.59
Nxt1,2.50E-06,2.83E-05,0.59
Gtf2h5,2.91E-06,3.23E-05,0.59
Mrps6,5.20E-05,3.76E-04,0.59
Lrrn1,6.52E-03,2.11E-02,0.59
Dhfr,3.26E-07,4.99E-06,0.59
Cmc2,1.12E-04,7.13E-04,0.59
Ndufb7,6.23E-08,1.19E-06,0.59
Fam198b,3.41E-05,2.65E-04,0.59
Psmb6,6.44E-07,8.93E-06,0.59
Cenpj,7.43E-07,1.01E-05,0.59
Actl6a,4.38E-09,1.18E-07,0.59
Tlcd2,1.54E-03,6.46E-03,0.59
Gne,5.62E-07,8.00E-06,0.59
Srsf2,2.77E-10,1.04E-08,0.59
Pik3r2,6.90E-07,9.44E-06,0.59
Nudcd2,1.40E-06,1.71E-05,0.59
Pdlim4,5.11E-06,5.23E-05,0.59
Nolc1,2.69E-08,5.73E-07,0.59
Mphosph10,1.59E-05,1.39E-04,0.59
Vac14,1.17E-06,1.48E-05,0.59
Bud31,9.27E-04,4.23E-03,0.59
Chaf1b,3.54E-05,2.74E-04,0.59
Psmd14,7.18E-08,1.34E-06,0.59
Dyrk3,8.73E-04,4.03E-03,0.59
Dnaja1,1.81E-06,2.14E-05,0.59
Ift27,2.71E-05,2.17E-04,0.59
Marcksl1,6.14E-09,1.59E-07,0.59
Pop1,1.35E-03,5.81E-03,0.59
Rbpms2,2.82E-07,4.42E-06,0.59
Zfp428,3.55E-06,3.84E-05,0.59
Mrpl11,3.25E-05,2.54E-04,0.59
Magoh,1.72E-08,3.93E-07,0.59
Cnih2,5.31E-04,2.64E-03,0.59
Mrps18c,2.14E-04,1.22E-03,0.59
Hnrnpab,1.31E-08,3.12E-07,0.59
Ccdc23,3.61E-05,2.78E-04,0.59
Dnajb11,3.67E-08,7.44E-07,0.59
Ccnyl1,1.04E-05,9.60E-05,0.60
9830147E19Rik,6.91E-03,2.22E-02,0.60
Lsmd1,3.63E-05,2.79E-04,0.60
Rbm19,1.50E-09,4.62E-08,0.60
Atp2a2,4.63E-11,2.06E-09,0.60
Stmn1,7.04E-06,6.83E-05,0.60
Pde5a,7.91E-08,1.45E-06,0.60
Aldh4a1,2.96E-06,3.27E-05,0.60
Shf,2.40E-06,2.72E-05,0.60
Prdx2,8.28E-08,1.51E-06,0.60
Tnni1,2.19E-05,1.81E-04,0.60
Gpatch4,3.96E-05,2.99E-04,0.60
Enho,2.38E-03,9.25E-03,0.60
Mettl21d,4.63E-04,2.35E-03,0.60
Fbxo22,7.41E-10,2.46E-08,0.60
Coq7,6.61E-05,4.60E-04,0.60
Coq10b,2.61E-03,9.96E-03,0.60
Wdr8,8.69E-07,1.14E-05,0.60
Aifm1,4.19E-11,1.89E-09,0.60
9430023L20Rik,1.66E-06,1.99E-05,0.60
Clhc1,1.28E-06,1.59E-05,0.60
Impa1,2.88E-08,6.08E-07,0.60
Rfc3,7.34E-14,6.30E-12,0.60
Ncbp1,1.68E-09,5.11E-08,0.60
St8sia2,1.06E-04,6.81E-04,0.60
Bak1,1.33E-06,1.64E-05,0.60
Fam210b,3.67E-07,5.55E-06,0.60
Agfg2,7.04E-06,6.83E-05,0.60
Mrpl51,2.69E-04,1.48E-03,0.60
Cluh,7.29E-08,1.36E-06,0.60
Arl6ip4,2.90E-07,4.53E-06,0.60
Magohb,1.13E-03,4.98E-03,0.60
Iscu,4.53E-03,1.56E-02,0.60
Atp5j,6.14E-06,6.09E-05,0.60
Csnk2b,3.17E-08,6.59E-07,0.60
Eif2b4,7.11E-08,1.33E-06,0.60
Chp1,1.57E-06,1.89E-05,0.60
Asb6,6.15E-06,6.10E-05,0.60
Cdc42se1,1.54E-08,3.59E-07,0.60
Add2,3.96E-03,1.40E-02,0.60
C2cd2l,2.10E-04,1.20E-03,0.60
Ctnnbip1,8.55E-07,1.13E-05,0.60
Mat2a,1.96E-07,3.27E-06,0.60
Npm3,1.83E-03,7.44E-03,0.60
Gps1,6.13E-05,4.32E-04,0.60
Tamm41,4.54E-05,3.35E-04,0.60
Naa10,5.24E-06,5.33E-05,0.60
Calm1,2.29E-10,8.73E-09,0.60
Lsm1,1.61E-04,9.59E-04,0.60
Cd24a,1.70E-06,2.03E-05,0.60
Scnn1a,1.58E-02,4.34E-02,0.60
Gypa,6.49E-03,2.10E-02,0.60
Slc20a1,6.33E-08,1.21E-06,0.60
Ctps,3.78E-06,4.05E-05,0.60
Myo7a,9.62E-03,2.89E-02,0.60
Hypk,2.31E-06,2.63E-05,0.60
Pa2g4,3.55E-07,5.41E-06,0.60
Cnp,1.66E-04,9.89E-04,0.61
Mtfr1l,1.39E-06,1.70E-05,0.61
Dusp18,1.18E-04,7.43E-04,0.61
Mad2l1,4.77E-07,6.95E-06,0.61
Msl3l2,1.24E-03,5.39E-03,0.61
Alyref,6.94E-07,9.48E-06,0.61
Dynll1,1.40E-07,2.41E-06,0.61
0610010K14Rik,3.31E-08,6.83E-07,0.61
Slc35e3,6.53E-04,3.15E-03,0.61
Ndrg4,6.92E-04,3.32E-03,0.61
Asf1a,1.62E-05,1.41E-04,0.61
Josd2,1.71E-04,1.02E-03,0.61
Gpr180,6.08E-05,4.29E-04,0.61
Cdr2,1.41E-05,1.25E-04,0.61
Pdf,1.05E-06,1.34E-05,0.61
Chmp6,4.37E-06,4.61E-05,0.61
Vwa2,5.62E-03,1.87E-02,0.61
Sms,9.52E-05,6.20E-04,0.61
Psma7,3.85E-07,5.79E-06,0.61
Uqcr10,3.40E-05,2.64E-04,0.61
Tigd5,2.07E-03,8.26E-03,0.61
Ogfr,4.76E-10,1.66E-08,0.61
Bola3,9.72E-04,4.40E-03,0.61
Nap1l2,1.17E-02,3.39E-02,0.61
