GeneID,p-value,FDR,FoldChange
Gcnt2,3.22E-03,1.18E-02,0.61
Pnmal2,1.14E-02,3.32E-02,0.61
Ltv1,3.07E-06,3.38E-05,0.61
Pebp1,3.05E-07,4.74E-06,0.61
Mon1a,2.33E-03,9.10E-03,0.61
Macrod2,1.13E-02,3.30E-02,0.61
Uchl3,2.42E-04,1.35E-03,0.61
Hspe1,1.41E-06,1.72E-05,0.61
Mid1ip1,2.22E-03,8.74E-03,0.61
Lsm3,1.95E-05,1.64E-04,0.61
Wbp1,4.56E-06,4.77E-05,0.61
Ccdc32,3.61E-04,1.91E-03,0.61
Aif1l,5.29E-11,2.32E-09,0.61
Shfm1,2.28E-06,2.61E-05,0.61
Plekho1,4.94E-07,7.17E-06,0.61
Arntl,3.10E-03,1.14E-02,0.61
Alg3,1.19E-05,1.08E-04,0.61
Ict1,7.21E-05,4.92E-04,0.61
Acly,1.03E-06,1.33E-05,0.61
Tomm22,3.35E-04,1.79E-03,0.61
Crcp,2.04E-05,1.71E-04,0.61
Gpx7,4.27E-04,2.19E-03,0.61
Tarbp2,1.79E-05,1.53E-04,0.61
Ephb1,2.25E-03,8.83E-03,0.61
Fam203a,2.89E-06,3.21E-05,0.61
Snrnp40,1.88E-07,3.14E-06,0.61
Tesk1,3.31E-07,5.05E-06,0.61
Lsm2,1.93E-06,2.26E-05,0.61
Casp8,2.75E-04,1.51E-03,0.61
Hmbs,4.97E-06,5.11E-05,0.61
Nuf2,7.91E-06,7.57E-05,0.61
H2afy,3.64E-11,1.66E-09,0.61
Vat1l,3.83E-03,1.36E-02,0.61
Mfsd3,1.59E-02,4.35E-02,0.61
Mrpl46,7.03E-05,4.83E-04,0.61
Uchl5,3.72E-04,1.95E-03,0.61
Gdpd1,2.32E-05,1.91E-04,0.61
Stip1,2.70E-14,2.54E-12,0.61
Gsr,4.66E-06,4.86E-05,0.61
Cdkn3,8.64E-03,2.65E-02,0.61
Uchl4,3.67E-04,1.93E-03,0.61
Nt5dc2,2.96E-06,3.27E-05,0.61
Msra,5.81E-04,2.86E-03,0.62
Zfp593,7.59E-04,3.58E-03,0.62
9530082P21Rik,9.61E-07,1.25E-05,0.62
Denr,1.85E-05,1.58E-04,0.62
Pcna,3.37E-09,9.42E-08,0.62
H2afy2,4.84E-09,1.29E-07,0.62
Sf3b5,8.38E-06,7.98E-05,0.62
Tlcd1,4.49E-03,1.55E-02,0.62
Tmod2,1.27E-04,7.88E-04,0.62
Cox19,2.33E-05,1.91E-04,0.62
Hspd1,1.33E-08,3.17E-07,0.62
Gale,1.18E-03,5.20E-03,0.62
Psmd6,3.55E-08,7.23E-07,0.62
Rfng,6.96E-06,6.77E-05,0.62
Metrn,2.12E-05,1.76E-04,0.62
E2f2,8.27E-04,3.85E-03,0.62
Ctdp1,3.80E-07,5.72E-06,0.62
Opa3,5.78E-07,8.19E-06,0.62
Psmd7,1.20E-09,3.80E-08,0.62
Ptms,2.53E-09,7.31E-08,0.62
Taf6l,1.64E-05,1.42E-04,0.62
Banf1,7.31E-05,4.97E-04,0.62
Txn2,1.55E-07,2.64E-06,0.62
Sod2,1.28E-06,1.59E-05,0.62
Slc10a3,4.37E-03,1.52E-02,0.62
Rps19bp1,2.28E-04,1.29E-03,0.62
Usp39,6.51E-07,9.00E-06,0.62
Nadk,3.70E-10,1.34E-08,0.62
Crabp2,4.55E-04,2.32E-03,0.62
Tada2b,3.30E-05,2.58E-04,0.62
Nlgn3,1.85E-02,4.92E-02,0.62
Cmklr1,3.51E-03,1.27E-02,0.62
Rnmtl1,1.32E-03,5.71E-03,0.62
Smarce1,4.52E-06,4.75E-05,0.62
Rab31,2.64E-07,4.19E-06,0.62
Gli1,2.24E-03,8.80E-03,0.62
Mlf1,1.39E-02,3.91E-02,0.62
Klc2,8.96E-06,8.40E-05,0.62
Dnlz,8.14E-06,7.77E-05,0.62
Sptbn2,4.49E-05,3.32E-04,0.62
9930014A18Rik,1.79E-02,4.79E-02,0.62
Urod,4.08E-07,6.08E-06,0.62
Fkbp4,2.77E-08,5.87E-07,0.62
E130012A19Rik,1.29E-03,5.59E-03,0.62
1110004E09Rik,1.42E-04,8.64E-04,0.62
Tusc2,7.47E-07,1.01E-05,0.62
Tprn,2.25E-03,8.83E-03,0.62
Psmd1,5.81E-12,3.25E-10,0.62
Tceb1,4.52E-05,3.34E-04,0.62
6530402F18Rik,7.18E-03,2.28E-02,0.62
Slc46a1,3.46E-03,1.25E-02,0.62
Rundc3a,1.44E-02,4.00E-02,0.62
Cenpv,1.11E-02,3.24E-02,0.62
Pvrl1,8.27E-05,5.50E-04,0.62
Ndufb9,7.56E-05,5.11E-04,0.62
Skp1a,3.77E-06,4.04E-05,0.62
Cox10,3.21E-06,3.51E-05,0.62
Npm3-ps1,9.02E-04,4.14E-03,0.62
Mtch2,2.03E-08,4.53E-07,0.62
Noc4l,8.40E-07,1.12E-05,0.62
Rcan2,2.30E-04,1.30E-03,0.62
Sergef,1.25E-02,3.57E-02,0.62
Zswim1,2.50E-05,2.02E-04,0.62
Med11,3.86E-04,2.02E-03,0.62
Naa60,5.69E-08,1.10E-06,0.62
Znhit1,1.81E-04,1.06E-03,0.62
Chchd2,9.88E-05,6.39E-04,0.62
Rcc2,1.83E-11,8.89E-10,0.62
Pycrl,2.55E-06,2.87E-05,0.62
Psmc1,1.49E-05,1.32E-04,0.62
Rpf2,9.32E-05,6.08E-04,0.62
Tmem37,1.81E-02,4.85E-02,0.62
4930453N24Rik,2.43E-05,1.98E-04,0.62
Hprt,2.99E-06,3.30E-05,0.62
Mien1,1.57E-04,9.40E-04,0.62
Ctxn1,9.02E-06,8.44E-05,0.62
E2f4,5.96E-09,1.55E-07,0.62
Mrpl21,4.98E-04,2.51E-03,0.62
Hmgn3,7.80E-04,3.67E-03,0.62
Slc35g1,5.66E-03,1.88E-02,0.62
Cpm,3.24E-03,1.19E-02,0.62
Ssu72,6.98E-07,9.51E-06,0.62
Ndn,2.04E-09,6.07E-08,0.63
Rbm15b,1.51E-11,7.47E-10,0.63
Gtse1,1.48E-08,3.47E-07,0.63
Rfx5,6.30E-05,4.41E-04,0.63
Setd8,5.35E-06,5.43E-05,0.63
Nacc2,2.99E-04,1.62E-03,0.63
Hmgcll1,3.55E-03,1.28E-02,0.63
Dnaaf2,1.75E-05,1.50E-04,0.63
Ptma,6.54E-08,1.24E-06,0.63
Parl,7.04E-05,4.83E-04,0.63
Tmem183a,3.43E-08,7.03E-07,0.63
Cdh24,2.86E-04,1.56E-03,0.63
Cnn1,7.35E-04,3.49E-03,0.63
Slc18b1,1.38E-02,3.86E-02,0.63
Ddc,7.27E-03,2.30E-02,0.63
Hn1l,7.94E-08,1.46E-06,0.63
Chpf,6.44E-05,4.50E-04,0.63
Ercc6l,7.03E-08,1.32E-06,0.63
Lmo7,1.16E-03,5.09E-03,0.63
Cdk18,6.13E-03,2.00E-02,0.63
Tprgl,4.15E-07,6.18E-06,0.63
Suv39h2,4.43E-05,3.29E-04,0.63
Sf3a2,8.96E-07,1.17E-05,0.63
Snrpg,3.91E-04,2.04E-03,0.63
Ahsa2,8.13E-09,2.02E-07,0.63
Ndufb8,9.08E-06,8.49E-05,0.63
Mnf1,3.59E-05,2.76E-04,0.63
Dgcr6,4.36E-05,3.24E-04,0.63
Dpy30,1.68E-04,1.00E-03,0.63
Lsm4,6.17E-07,8.61E-06,0.63
Cmtm3,8.33E-05,5.53E-04,0.63
Prdx1,1.31E-05,1.18E-04,0.63
Col22a1,9.16E-03,2.78E-02,0.63
Fam73b,2.89E-07,4.52E-06,0.63
Elac2,1.75E-07,2.94E-06,0.63
Ube2a,6.18E-06,6.12E-05,0.63
Fam149a,2.99E-04,1.62E-03,0.63
Stk16,1.07E-06,1.36E-05,0.63
Snrnp25,2.43E-04,1.36E-03,0.63
Sept3,1.41E-04,8.61E-04,0.63
Pdap1,1.25E-06,1.56E-05,0.63
Plk1,1.89E-06,2.22E-05,0.63
Arf5,1.16E-04,7.31E-04,0.63
Mfsd5,2.60E-06,2.92E-05,0.63
Mrps7,9.58E-06,8.93E-05,0.63
Mpv17l2,1.80E-02,4.81E-02,0.63
Tigd3,1.24E-02,3.56E-02,0.63
Srebf2,4.96E-06,5.11E-05,0.63
Oprl1,5.53E-03,1.84E-02,0.63
Mdh1,1.39E-09,4.32E-08,0.63
Prkrip1,8.59E-05,5.67E-04,0.63
Akr7a5,2.95E-04,1.60E-03,0.63
Tgm4,4.79E-03,1.64E-02,0.63
Ndufc1,1.12E-04,7.14E-04,0.63
Ecsit,1.67E-04,9.93E-04,0.63
Ncbp2,1.67E-08,3.83E-07,0.63
Elovl6,3.27E-06,3.57E-05,0.63
Hn1,1.64E-09,4.99E-08,0.63
Rnpep,1.30E-06,1.61E-05,0.63
2010107E04Rik,2.13E-04,1.22E-03,0.63
Psme3,1.18E-07,2.06E-06,0.63
Spryd4,2.86E-04,1.56E-03,0.63
Tpmt,4.65E-04,2.36E-03,0.63
Stat1,1.25E-02,3.58E-02,0.63
Snrpc,1.76E-04,1.04E-03,0.63
Recql,1.36E-04,8.38E-04,0.63
Ide,2.81E-06,3.13E-05,0.63
Bloc1s1,1.02E-03,4.58E-03,0.63
H2-Q4,5.49E-03,1.83E-02,0.63
Psma2,5.63E-06,5.65E-05,0.63
Haus7,2.07E-07,3.42E-06,0.63
Ndufa3,1.93E-04,1.12E-03,0.63
Gss,1.54E-04,9.28E-04,0.63
Ptplad1,3.73E-06,4.01E-05,0.64
Olfm1,4.76E-05,3.49E-04,0.64
Hoxa4,2.30E-03,8.99E-03,0.64
Gemin4,3.42E-07,5.23E-06,0.64
Rnf219,1.53E-06,1.85E-05,0.64
Thop1,4.45E-06,4.68E-05,0.64
Rnf122,1.89E-05,1.61E-04,0.64
Cpsf2,2.49E-08,5.37E-07,0.64
Limk1,5.15E-07,7.44E-06,0.64
Ube2s,6.36E-03,2.07E-02,0.64
Ift20,8.26E-06,7.88E-05,0.64
Twf2,1.92E-05,1.63E-04,0.64
Ap1s1,1.84E-06,2.17E-05,0.64
Tkt,7.84E-07,1.06E-05,0.64
Dph2,4.13E-05,3.10E-04,0.64
Snrpd1,1.60E-04,9.57E-04,0.64
Smyd1,1.59E-02,4.36E-02,0.64
Fis1,1.81E-06,2.13E-05,0.64
Atpif1,2.08E-05,1.74E-04,0.64
Alas2,2.76E-03,1.04E-02,0.64
Tomm7,6.00E-04,2.93E-03,0.64
Aprt,3.48E-05,2.69E-04,0.64
Tcf19,1.45E-05,1.29E-04,0.64
Tpst1,3.34E-05,2.60E-04,0.64
Stard10,5.54E-04,2.74E-03,0.64
Psma4,8.02E-06,7.66E-05,0.64
Calm3,3.53E-09,9.74E-08,0.64
Cd34,1.89E-05,1.61E-04,0.64
Osgep,1.93E-03,7.78E-03,0.64
Polr2j,2.03E-05,1.70E-04,0.64
Eme2,5.80E-03,1.92E-02,0.64
Slc25a15,1.70E-04,1.01E-03,0.64
Hint1,1.34E-05,1.20E-04,0.64
Rnaseh2b,6.63E-03,2.14E-02,0.64
Ywhaq,2.45E-03,9.46E-03,0.64
Rhno1,1.11E-06,1.40E-05,0.64
Bid,5.49E-03,1.83E-02,0.64
Mrps23,1.50E-06,1.82E-05,0.64
Mrps26,1.59E-04,9.51E-04,0.64
Chchd4,5.56E-05,3.98E-04,0.64
Rac3,3.18E-03,1.17E-02,0.64
Spc24,5.68E-07,8.07E-06,0.64
D16Ertd472e,1.14E-04,7.24E-04,0.64
Pnkp,8.01E-05,5.35E-04,0.64
Eftud2,1.21E-09,3.84E-08,0.64
Apip,8.54E-04,3.96E-03,0.64
Foxk2,2.20E-08,4.85E-07,0.64
Ube2g2,1.33E-09,4.13E-08,0.64
Grtp1,8.90E-03,2.72E-02,0.64
Park7,1.18E-04,7.45E-04,0.64
Creld2,4.90E-05,3.57E-04,0.64
Myo19,1.89E-04,1.10E-03,0.64
Efna2,1.69E-06,2.02E-05,0.64
4930594C11Rik,6.03E-03,1.98E-02,0.64
Prmt1,1.97E-07,3.27E-06,0.64
Nr2f6,8.54E-04,3.96E-03,0.64
Sumo1,8.44E-04,3.92E-03,0.64
Enoph1,2.30E-06,2.63E-05,0.64
Hmgb3,1.04E-03,4.63E-03,0.64
Wars,3.82E-07,5.75E-06,0.64
Plekhj1,3.61E-06,3.89E-05,0.64
Ap4s1,9.26E-03,2.80E-02,0.64
Fam207a,6.56E-07,9.05E-06,0.64
Taf10,4.29E-03,1.50E-02,0.64
Lpl,9.75E-04,4.41E-03,0.64
Tmem141,1.11E-02,3.25E-02,0.64
Tmem147,4.14E-05,3.11E-04,0.64
Atp6v0a2,9.01E-05,5.92E-04,0.64
Bccip,1.02E-06,1.31E-05,0.64
Eif4a3,1.02E-08,2.48E-07,0.64
Tesk2,3.78E-03,1.35E-02,0.65
Slc11a2,9.06E-05,5.94E-04,0.65
Cox7b,4.21E-05,3.16E-04,0.65
Faim,7.59E-04,3.58E-03,0.65
Mrpl28,2.36E-05,1.94E-04,0.65
Cables2,1.77E-04,1.04E-03,0.65
Cks1b,1.00E-04,6.48E-04,0.65
Psmd9,2.14E-07,3.52E-06,0.65
Rbm8a,3.48E-06,3.77E-05,0.65
Irf1,1.49E-02,4.12E-02,0.65
Aagab,1.49E-05,1.31E-04,0.65
Homer2,9.42E-05,6.14E-04,0.65
Acy1,9.51E-04,4.32E-03,0.65
B9d1,1.01E-03,4.53E-03,0.65
Ppif,2.52E-05,2.04E-04,0.65
Commd1,7.14E-04,3.40E-03,0.65
Psmd4,7.68E-07,1.04E-05,0.65
Arf2,5.89E-07,8.30E-06,0.65
Ndufs8,3.95E-06,4.20E-05,0.65
Polr3k,2.02E-07,3.35E-06,0.65
Abcb8,2.00E-08,4.48E-07,0.65
Slc35a4,4.94E-07,7.17E-06,0.65
5730559C18Rik,3.74E-06,4.01E-05,0.65
Spr,9.06E-05,5.94E-04,0.65
Setd6,1.45E-03,6.14E-03,0.65
Btbd10,4.68E-04,2.38E-03,0.65
Mrps18b,1.52E-04,9.19E-04,0.65
Cse1l,7.00E-10,2.33E-08,0.65
Ap2s1,9.39E-07,1.22E-05,0.65
Vps36,1.51E-04,9.11E-04,0.65
H2afz,3.69E-04,1.94E-03,0.65
Mxd3,1.04E-02,3.09E-02,0.65
Prpf31,1.46E-09,4.53E-08,0.65
Pin1,1.81E-07,3.04E-06,0.65
Mthfd1,3.68E-07,5.57E-06,0.65
Mrpl43,1.28E-04,7.93E-04,0.65
Cdca5,6.36E-06,6.27E-05,0.65
Dna2,2.17E-08,4.78E-07,0.65
Tceb2,2.12E-04,1.22E-03,0.65
Aurka,4.87E-10,1.70E-08,0.65
Donson,1.34E-04,8.28E-04,0.65
Rbm42,2.66E-06,2.98E-05,0.65
Abracl,1.60E-03,6.65E-03,0.65
Ier5,2.15E-05,1.79E-04,0.65
Psmb7,2.56E-05,2.06E-04,0.65
Tysnd1,1.41E-04,8.61E-04,0.65
Nudt4,1.75E-05,1.51E-04,0.65
Sh2b2,3.23E-03,1.18E-02,0.65
Acaca,2.15E-04,1.23E-03,0.65
Eif3b,4.74E-07,6.95E-06,0.65
Lpcat4,3.53E-03,1.27E-02,0.65
Cdk4,3.73E-06,4.01E-05,0.65
Klf2,1.20E-02,3.46E-02,0.65
Arxes1,7.19E-03,2.29E-02,0.65
Mrps25,5.93E-06,5.92E-05,0.65
Sdc1,4.65E-09,1.25E-07,0.65
Ndufa2,1.63E-05,1.42E-04,0.65
Ppp1r16a,1.86E-05,1.59E-04,0.65
Acads,1.24E-06,1.55E-05,0.65
Tor2a,3.91E-04,2.04E-03,0.65
Crnkl1,3.01E-05,2.38E-04,0.65
Fastkd5,6.95E-05,4.79E-04,0.65
Pnp,1.19E-04,7.48E-04,0.65
Fam188a,2.19E-03,8.63E-03,0.65
Arnt2,1.04E-05,9.57E-05,0.65
Zfp668,5.32E-06,5.39E-05,0.65
Hspa4,2.69E-09,7.69E-08,0.65
Actr1a,1.45E-10,5.77E-09,0.65
Lrfn1,2.42E-03,9.36E-03,0.65
Klhl23,7.17E-08,1.34E-06,0.65
Emilin2,2.94E-07,4.58E-06,0.65
Mrpl53,7.11E-05,4.88E-04,0.65
Zbed4,1.01E-02,3.00E-02,0.65
Cs,3.18E-11,1.48E-09,0.65
Ndufa12,5.69E-04,2.81E-03,0.65
Cfl1,7.38E-05,5.00E-04,0.65
Myd88,1.02E-02,3.04E-02,0.65
Nudt1,1.06E-04,6.82E-04,0.65
Ntmt1,8.75E-06,8.26E-05,0.65
Thoc5,9.09E-07,1.19E-05,0.65
Prodh,1.69E-03,6.98E-03,0.65
Psmb2,7.80E-05,5.23E-04,0.65
Tssc4,2.56E-07,4.08E-06,0.65
Ccnj,3.15E-06,3.45E-05,0.65
Ppil3,3.61E-04,1.91E-03,0.65
Ube2v2,3.20E-03,1.17E-02,0.65
Tra2b,1.17E-04,7.38E-04,0.65
Anapc15,1.20E-03,5.26E-03,0.65
Pnkd,3.95E-06,4.20E-05,0.65
Diablo,1.79E-06,2.12E-05,0.65
Ulk1,5.86E-05,4.16E-04,0.65
Minos1,6.51E-05,4.53E-04,0.65
Cuta,2.48E-05,2.01E-04,0.65
Yipf1,2.23E-03,8.78E-03,0.65
Znhit3,9.28E-04,4.23E-03,0.65
Pbdc1,1.43E-04,8.69E-04,0.65
Clns1a,3.89E-05,2.95E-04,0.65
Sfrp2,1.11E-03,4.93E-03,0.65
Polr2e,2.12E-05,1.76E-04,0.65
Eif1ad,1.58E-03,6.59E-03,0.65
Tmem256,5.20E-03,1.76E-02,0.65
Naa38,6.00E-05,4.24E-04,0.65
Cyb561d2,9.58E-03,2.88E-02,0.65
0610009D07Rik,1.11E-04,7.04E-04,0.65
Sall2,3.53E-07,5.39E-06,0.66
Pus7l,1.46E-03,6.16E-03,0.66
Tdp1,5.75E-06,5.76E-05,0.66
Anxa3,3.91E-04,2.04E-03,0.66
Ndufs6,8.06E-05,5.38E-04,0.66
Snrpd3,1.48E-04,8.94E-04,0.66
Sapcd2,5.73E-04,2.83E-03,0.66
Prkag1,3.52E-08,7.21E-07,0.66
Crmp1,8.13E-05,5.42E-04,0.66
Ifit2,4.48E-03,1.55E-02,0.66
Mrpl13,4.74E-05,3.47E-04,0.66
Pbk,6.68E-05,4.63E-04,0.66
Incenp,3.20E-08,6.64E-07,0.66
Dolpp1,4.47E-04,2.28E-03,0.66
8430410A17Rik,2.92E-04,1.59E-03,0.66
Psma1,1.15E-05,1.05E-04,0.66
Rpusd1,1.38E-04,8.47E-04,0.66
Tmem44,3.99E-04,2.07E-03,0.66
Akt1,7.81E-10,2.58E-08,0.66
Ppp2r5b,2.85E-04,1.56E-03,0.66
Mgst3,5.54E-03,1.85E-02,0.66
Pmvk,2.69E-04,1.48E-03,0.66
Eef1d,3.61E-06,3.89E-05,0.66
H3f3a,2.03E-04,1.17E-03,0.66
Psmc3ip,2.94E-03,1.10E-02,0.66
Prkaca,1.02E-06,1.31E-05,0.66
Slc25a37,5.42E-04,2.69E-03,0.66
Nploc4,1.13E-08,2.73E-07,0.66
Tbx2,4.43E-04,2.26E-03,0.66
Mrpl38,5.55E-06,5.58E-05,0.66
H2afj,9.87E-03,2.96E-02,0.66
H2-Ke2,7.02E-05,4.83E-04,0.66
Snrpf,6.26E-03,2.04E-02,0.66
Tmed5,5.21E-04,2.60E-03,0.66
AK010878,1.72E-03,7.06E-03,0.66
Prpf19,1.10E-07,1.94E-06,0.66
Jph2,4.51E-03,1.56E-02,0.66
Tmem199,2.73E-04,1.50E-03,0.66
Trib1,9.80E-05,6.36E-04,0.66
Tmem41a,1.45E-03,6.15E-03,0.66
Bax,2.63E-04,1.46E-03,0.66
Gtpbp1,1.06E-06,1.35E-05,0.66
Map2k3,1.23E-06,1.54E-05,0.66
Wbscr16,1.07E-04,6.84E-04,0.66
Trappc1,1.14E-04,7.22E-04,0.66
Rnf166,1.93E-05,1.63E-04,0.66
Sgsm3,1.63E-04,9.70E-04,0.66
Fh1,9.31E-08,1.67E-06,0.66
Daglb,2.39E-03,9.28E-03,0.66
Arl3,3.63E-07,5.52E-06,0.66
Ubl5,1.84E-04,1.08E-03,0.66
Smim12,3.69E-03,1.32E-02,0.66
Mrpl2,1.90E-05,1.61E-04,0.66
Tmem151b,7.22E-03,2.29E-02,0.66
Fkbp3,6.90E-04,3.31E-03,0.66
Cisd2,7.95E-05,5.32E-04,0.66
Ppp1r11,3.37E-04,1.80E-03,0.66
Manf,2.57E-05,2.07E-04,0.66
Mdfic,1.35E-05,1.21E-04,0.66
Gemin6,3.23E-03,1.18E-02,0.66
Psma3,1.58E-03,6.58E-03,0.66
Rab1b,2.09E-08,4.64E-07,0.66
Wdr62,2.41E-04,1.35E-03,0.66
Spata2,1.47E-05,1.30E-04,0.66
Kcnh2,8.24E-07,1.10E-05,0.66
Uqcrc1,5.49E-08,1.06E-06,0.66
Emp1,5.46E-03,1.83E-02,0.66
Rwdd1,2.55E-03,9.80E-03,0.66
Snord22,6.29E-03,2.05E-02,0.66
Mrps34,3.57E-04,1.89E-03,0.66
Zfp280b,5.57E-06,5.60E-05,0.66
Sec61b,7.10E-04,3.39E-03,0.66
Mtx2,3.43E-04,1.82E-03,0.67
Nop16,6.14E-04,2.99E-03,0.67
Sncaip,1.05E-02,3.11E-02,0.67
Ran,3.47E-06,3.77E-05,0.67
Rrs1,2.09E-04,1.20E-03,0.67
Fcf1,1.44E-03,6.11E-03,0.67
Gnb1l,1.35E-03,5.81E-03,0.67
Tmem29,8.55E-04,3.96E-03,0.67
Gipc1,6.94E-07,9.48E-06,0.67
4930427A07Rik,5.78E-05,4.12E-04,0.67
Prpsap1,1.16E-05,1.05E-04,0.67
Dut,5.49E-04,2.73E-03,0.67
Snhg8,4.75E-04,2.41E-03,0.67
Mrpl37,3.59E-08,7.31E-07,0.67
Ndufv1,3.10E-07,4.79E-06,0.67
Kif3a,1.85E-06,2.18E-05,1.50
Ttc38,1.23E-02,3.52E-02,1.50
Cybasc3,2.03E-03,8.12E-03,1.50
Tmem175,7.07E-03,2.26E-02,1.50
Cyp1b1,1.02E-03,4.56E-03,1.50
Frem1,4.24E-03,1.48E-02,1.50
Vkorc1,8.12E-04,3.79E-03,1.50
Kif21a,2.36E-03,9.20E-03,1.50
Ebf3,9.71E-04,4.40E-03,1.50
Pde4dip,1.99E-06,2.33E-05,1.50
Peg10,1.05E-05,9.62E-05,1.50
Nabp1,9.41E-04,4.28E-03,1.50
Atf6,2.66E-06,2.98E-05,1.50
Dmtf1,1.96E-05,1.65E-04,1.50
D2hgdh,9.45E-03,2.85E-02,1.50
Zfp609,1.10E-03,4.87E-03,1.50
Wbscr27,7.30E-03,2.31E-02,1.50
D430042O09Rik,2.20E-04,1.25E-03,1.50
Sft2d2,1.22E-07,2.13E-06,1.51
Ptprk,2.94E-06,3.26E-05,1.51
Dact1,2.98E-04,1.61E-03,1.51
Naglu,1.90E-03,7.66E-03,1.51
Acvrl1,8.82E-04,4.07E-03,1.51
Nadkd1,6.85E-08,1.29E-06,1.51
Braf,4.41E-04,2.25E-03,1.51
Zfp57,1.15E-07,2.02E-06,1.51
Psat1,1.34E-05,1.20E-04,1.51
Smc5,3.35E-05,2.61E-04,1.51
Zfp467,2.05E-04,1.18E-03,1.51
Atxn2l,1.56E-04,9.38E-04,1.51
Sparcl1,2.45E-03,9.47E-03,1.51
Apbb2,2.02E-05,1.69E-04,1.51
Arl5b,7.65E-03,2.40E-02,1.51
Stbd1,1.80E-04,1.06E-03,1.51
Tbc1d15,2.82E-06,3.14E-05,1.51
Naa16,1.12E-04,7.13E-04,1.51
Ajuba,8.66E-08,1.57E-06,1.51
Pdzrn3,3.33E-04,1.78E-03,1.51
BC052040,7.75E-08,1.42E-06,1.51
Pi4k2b,1.11E-06,1.40E-05,1.51
Lck,3.18E-03,1.17E-02,1.51
Ep300,1.35E-03,5.82E-03,1.51
Prkce,1.49E-04,8.99E-04,1.51
Zkscan6,8.75E-04,4.04E-03,1.51
Phf3,5.69E-08,1.10E-06,1.51
Mirg,1.59E-03,6.61E-03,1.51
Zfp40,2.05E-03,8.18E-03,1.51
Dynlt3,5.23E-05,3.77E-04,1.51
Alx3,5.03E-03,1.71E-02,1.51
Zc2hc1a,8.61E-06,8.14E-05,1.51
Ralgapa1,8.07E-04,3.77E-03,1.51
Esyt1,2.14E-04,1.22E-03,1.51
C430049B03Rik,2.10E-04,1.21E-03,1.51
Birc2,1.22E-06,1.53E-05,1.51
