GeneID,p-value,FDR,FoldChange
Dusp6,1.33E-13,1.10E-11,1.73
Fam117b,2.14E-11,1.02E-09,1.74
Magi3,2.15E-06,2.49E-05,1.74
Ank2,1.24E-07,2.18E-06,1.74
Ccdc57,1.32E-04,8.14E-04,1.74
Adamts15,8.96E-04,4.12E-03,1.74
Abca1,1.24E-03,5.39E-03,1.74
Hdac4,1.42E-03,6.04E-03,1.74
Iars,4.80E-12,2.77E-10,1.74
Acacb,1.39E-03,5.93E-03,1.74
Cep290,5.05E-04,2.53E-03,1.74
Lgals3bp,1.56E-02,4.30E-02,1.74
Uvssa,2.59E-08,5.54E-07,1.74
Avl9,3.20E-08,6.64E-07,1.74
Mbd5,1.85E-04,1.08E-03,1.74
Mysm1,2.61E-05,2.11E-04,1.74
Sytl2,1.04E-02,3.08E-02,1.74
Agl,1.62E-08,3.72E-07,1.74
Rab6b,5.88E-03,1.93E-02,1.74
Pigg,1.53E-05,1.35E-04,1.74
Poli,8.38E-05,5.55E-04,1.75
5730480H06Rik,4.81E-03,1.65E-02,1.75
Pcdhga2,2.59E-03,9.91E-03,1.75
Lamp2,5.24E-10,1.81E-08,1.75
Tmem204,9.93E-05,6.42E-04,1.75
Msx1,1.70E-03,7.00E-03,1.75
Plxna4,9.08E-05,5.95E-04,1.75
Rufy2,4.79E-08,9.41E-07,1.75
Mib2,1.90E-05,1.61E-04,1.75
Stim1,5.84E-07,8.26E-06,1.75
Xpnpep2,2.26E-04,1.28E-03,1.75
Foxj3,1.70E-07,2.87E-06,1.75
Foxo1,1.48E-08,3.47E-07,1.75
Peg3,1.28E-02,3.64E-02,1.75
Elf4,1.85E-05,1.58E-04,1.75
Esam,8.76E-06,8.26E-05,1.75
Fam43a,2.19E-07,3.58E-06,1.75
Rbm33,6.65E-05,4.62E-04,1.75
Cpeb4,1.82E-02,4.86E-02,1.75
D630037F22Rik,2.65E-05,2.13E-04,1.75
Ccdc42,1.10E-02,3.21E-02,1.75
Lcorl,3.19E-05,2.50E-04,1.75
Klf9,1.19E-02,3.43E-02,1.76
Hecw2,4.34E-04,2.22E-03,1.76
2010107G23Rik,1.50E-02,4.14E-02,1.76
Ltbp1,5.61E-06,5.64E-05,1.76
Msi2,1.77E-11,8.64E-10,1.76
Zzef1,1.57E-05,1.37E-04,1.76
Wdr34,1.90E-08,4.31E-07,1.76
Grina,3.95E-08,7.94E-07,1.76
Tpk1,1.05E-03,4.69E-03,1.76
Tanc1,7.85E-06,7.52E-05,1.76
Angpt2,1.33E-03,5.74E-03,1.76
Aldh6a1,5.24E-07,7.55E-06,1.76
Wdr59,8.79E-12,4.63E-10,1.76
Tbc1d23,1.03E-07,1.83E-06,1.76
Amotl2,4.48E-15,4.95E-13,1.76
Oit3,1.28E-02,3.65E-02,1.76
Ptprb,1.13E-03,4.97E-03,1.76
Prkg1,2.31E-06,2.63E-05,1.76
Spin4,1.83E-04,1.07E-03,1.77
Maml2,3.79E-04,1.99E-03,1.77
Gm3414,1.40E-03,5.98E-03,1.77
Clk4,1.04E-08,2.53E-07,1.77
Igsf11,7.28E-04,3.46E-03,1.77
Il17rd,8.92E-07,1.17E-05,1.77
Parp6,7.28E-09,1.83E-07,1.77
Zfp654,2.26E-06,2.59E-05,1.77
Ascc3,4.76E-07,6.95E-06,1.77
Sbf2,4.82E-07,7.01E-06,1.77
Rps6ka2,1.95E-08,4.40E-07,1.77
Clec1b,1.94E-03,7.82E-03,1.77
Srcrb4d,8.51E-03,2.62E-02,1.77
Sh3d21,9.01E-04,4.14E-03,1.77
Epas1,1.77E-03,7.23E-03,1.77
Ikbip,1.66E-06,1.99E-05,1.77
Tnks,1.86E-02,4.95E-02,1.77
Ssc5d,4.83E-04,2.44E-03,1.77
Glipr2,5.47E-09,1.44E-07,1.78
Ern1,4.00E-03,1.41E-02,1.78
2610008E11Rik,2.53E-08,5.44E-07,1.78
Ncrna00085,1.15E-02,3.33E-02,1.78
Cpt1c,8.04E-04,3.76E-03,1.78
Tgfbr3,5.28E-06,5.36E-05,1.78
Fzd4,8.32E-06,7.93E-05,1.78
Zfp28,1.61E-06,1.94E-05,1.78
Chd9,2.80E-04,1.53E-03,1.78
Mertk,7.75E-04,3.65E-03,1.79
Prrt2,1.17E-04,7.36E-04,1.79
Ubr2,4.26E-06,4.50E-05,1.79
Ift172,6.95E-07,9.49E-06,1.79
Nbea,8.71E-06,8.22E-05,1.79
Cpz,1.77E-03,7.22E-03,1.79
Lrif1,4.60E-05,3.38E-04,1.79
4930402H24Rik,4.57E-04,2.33E-03,1.79
Tead4,3.77E-05,2.87E-04,1.79
Sdr39u1,1.24E-10,5.04E-09,1.79
Klf15,4.28E-04,2.20E-03,1.79
Zscan26,6.65E-10,2.23E-08,1.79
Epha4,1.33E-05,1.20E-04,1.79
Wnt6,2.71E-04,1.49E-03,1.79
Plekha5,2.26E-07,3.68E-06,1.79
Pard6b,6.16E-07,8.60E-06,1.79
Sema3c,5.35E-09,1.41E-07,1.79
Trim6,2.73E-05,2.19E-04,1.79
Pitpnc1,9.17E-09,2.26E-07,1.80
Adamts12,4.45E-03,1.54E-02,1.80
Pde4a,1.23E-03,5.37E-03,1.80
Bbx,5.15E-08,1.00E-06,1.80
Ero1lb,1.70E-02,4.61E-02,1.80
Enpp5,3.80E-03,1.35E-02,1.80
Astn2,2.99E-03,1.11E-02,1.80
Zfp458,3.92E-03,1.39E-02,1.80
Tlx1,2.83E-03,1.06E-02,1.80
Mycbp2,2.35E-04,1.32E-03,1.80
Cdc42ep2,2.12E-04,1.21E-03,1.80
Reck,1.26E-13,1.05E-11,1.80
Zfp169,4.77E-03,1.63E-02,1.80
Lrrk2,1.22E-03,5.33E-03,1.80
Pcx,2.19E-07,3.58E-06,1.80
Mtus2,1.09E-04,6.94E-04,1.80
Mapk1ip1,5.04E-06,5.16E-05,1.81
Ptpru,2.77E-04,1.52E-03,1.81
Rprm,9.88E-03,2.96E-02,1.81
March7,1.43E-07,2.46E-06,1.81
Gm7694,2.41E-05,1.97E-04,1.81
Slc37a4,5.38E-08,1.04E-06,1.81
Plk2,6.92E-06,6.74E-05,1.81
Ccdc171,3.62E-03,1.30E-02,1.81
Erc2,3.76E-04,1.97E-03,1.82
Irx3,6.26E-07,8.73E-06,1.82
Pcgf5,1.40E-03,5.96E-03,1.82
Rnf128,3.14E-05,2.47E-04,1.82
Dab2,6.70E-09,1.70E-07,1.82
Mdm4,1.11E-03,4.91E-03,1.82
Aga,2.10E-05,1.75E-04,1.82
Opcml,1.43E-02,3.99E-02,1.82
Ankrd24,1.41E-04,8.61E-04,1.82
Zfp473,3.03E-06,3.33E-05,1.82
Icosl,1.83E-04,1.07E-03,1.82
Spock2,2.05E-03,8.19E-03,1.82
4930447C04Rik,6.46E-03,2.09E-02,1.82
1810026B05Rik,1.74E-04,1.03E-03,1.82
Selenbp1,7.59E-03,2.38E-02,1.83
Ulk4,8.52E-03,2.62E-02,1.83
Slc16a9,3.14E-03,1.16E-02,1.83
Mll3,2.54E-04,1.42E-03,1.83
Kat6b,1.01E-05,9.35E-05,1.83
Abca4,7.69E-06,7.37E-05,1.83
Fam65c,1.41E-04,8.61E-04,1.83
Arhgef3,3.11E-05,2.45E-04,1.83
Inpp4a,2.69E-09,7.69E-08,1.83
Ddah1,2.82E-14,2.62E-12,1.84
Ccdc15,8.52E-03,2.62E-02,1.84
Kcnq5,1.81E-04,1.06E-03,1.84
Alkbh5,4.81E-16,6.62E-14,1.84
Wt1,4.90E-04,2.47E-03,1.84
Phf15,9.83E-03,2.95E-02,1.84
Zbtb7c,2.61E-03,9.96E-03,1.84
Crispld2,1.21E-04,7.61E-04,1.84
Nampt,1.66E-11,8.14E-10,1.84
Flnb,5.37E-07,7.70E-06,1.84
Sdc4,8.40E-05,5.56E-04,1.84
Masp1,8.53E-06,8.09E-05,1.84
Nf1,9.57E-06,8.93E-05,1.84
Adcy2,5.69E-03,1.89E-02,1.85
Col4a2,1.98E-08,4.45E-07,1.85
Mxi1,5.20E-06,5.30E-05,1.85
Usp29,4.30E-06,4.54E-05,1.85
LOC106740,3.41E-08,6.99E-07,1.85
Cdkn1b,6.62E-07,9.12E-06,1.85
Glt1d1,1.81E-02,4.83E-02,1.85
Ctbs,6.47E-05,4.51E-04,1.85
Sh3bp4,5.11E-10,1.77E-08,1.85
Ggnbp1,8.39E-03,2.60E-02,1.85
Maf,1.20E-03,5.24E-03,1.85
Ccdc106,7.07E-04,3.38E-03,1.86
Gfra2,9.40E-03,2.84E-02,1.86
Abcc1,1.60E-08,3.69E-07,1.86
Nsun6,4.18E-07,6.22E-06,1.86
2610307P16Rik,6.92E-03,2.22E-02,1.86
Ppp1r13b,1.43E-05,1.27E-04,1.86
Tdrkh,1.55E-04,9.30E-04,1.86
C030039L03Rik,3.89E-04,2.03E-03,1.86
Rgs4,4.22E-04,2.17E-03,1.86
Zfp442,9.99E-04,4.50E-03,1.86
Olfm2,6.80E-04,3.27E-03,1.86
Gm1976,1.58E-03,6.61E-03,1.86
Ccdc150,3.12E-03,1.15E-02,1.86
Irs4,1.39E-02,3.89E-02,1.86
Dennd4c,1.57E-03,6.56E-03,1.86
Kidins220,3.77E-09,1.03E-07,1.86
Dusp4,1.23E-05,1.12E-04,1.86
Fry,1.83E-04,1.07E-03,1.87
Cttnbp2,1.06E-03,4.71E-03,1.87
Tgfbi,1.59E-06,1.92E-05,1.87
Letm2,9.09E-04,4.16E-03,1.87
Hif3a,4.77E-06,4.95E-05,1.87
Zfp292,2.68E-07,4.25E-06,1.87
Cysltr1,1.69E-02,4.57E-02,1.87
Sh3tc1,8.85E-06,8.33E-05,1.87
Skil,7.54E-08,1.39E-06,1.87
Pcsk5,1.08E-07,1.92E-06,1.87
Dlg2,3.55E-03,1.28E-02,1.88
Megf11,4.06E-03,1.43E-02,1.88
Cars,5.39E-11,2.35E-09,1.88
Lrp1,3.35E-03,1.22E-02,1.88
Dennd5b,1.31E-09,4.10E-08,1.88
Dpy19l4,1.45E-03,6.15E-03,1.88
S1pr1,2.28E-08,4.97E-07,1.88
Slc6a15,3.94E-04,2.05E-03,1.88
Ppp1r3g,2.59E-03,9.91E-03,1.88
Zfp182,6.37E-06,6.28E-05,1.89
AA987161,1.04E-06,1.33E-05,1.89
Mdga1,2.95E-03,1.10E-02,1.89
Plagl1,5.77E-05,4.11E-04,1.89
Gas7,1.32E-06,1.63E-05,1.89
Igdcc4,2.20E-06,2.54E-05,1.89
Cdh3,2.70E-11,1.28E-09,1.89
Hfm1,5.29E-03,1.78E-02,1.89
Klf12,5.21E-04,2.60E-03,1.89
Aldoa,4.15E-10,1.48E-08,1.90
Pde10a,1.26E-04,7.82E-04,1.90
Mef2a,4.47E-05,3.31E-04,1.90
Lyst,1.43E-03,6.07E-03,1.90
Fam19a2,9.20E-04,4.21E-03,1.90
Akap8l,6.48E-08,1.23E-06,1.90
Clcn3,5.48E-16,7.40E-14,1.90
Zfp605,3.95E-06,4.20E-05,1.90
Atl1,1.49E-03,6.29E-03,1.90
Rfx3,7.37E-07,1.00E-05,1.91
Mll5,6.55E-07,9.04E-06,1.91
AF357359,1.81E-05,1.55E-04,1.91
Rad51b,7.30E-05,4.97E-04,1.91
Ak5,1.97E-04,1.14E-03,1.91
Trerf1,1.49E-05,1.32E-04,1.91
Pdk4,3.41E-03,1.24E-02,1.91
Parm1,2.08E-04,1.20E-03,1.91
Gpc4,2.73E-05,2.19E-04,1.91
Zfp456,5.38E-03,1.81E-02,1.91
Izumo4,7.49E-03,2.36E-02,1.91
Fbln5,1.10E-04,7.00E-04,1.91
4933407K13Rik,8.29E-04,3.86E-03,1.91
Samd5,1.43E-02,4.00E-02,1.91
Mga,8.51E-07,1.13E-05,1.92
Lrrc3b,4.70E-03,1.61E-02,1.92
Samd4,3.30E-09,9.28E-08,1.92
Tlr4,1.68E-02,4.56E-02,1.92
Wdr19,2.16E-05,1.79E-04,1.92
Dapk1,1.12E-15,1.41E-13,1.92
Ptpn4,7.83E-03,2.45E-02,1.92
Slit2,2.77E-04,1.52E-03,1.92
Cdkl5,1.30E-02,3.69E-02,1.92
Ganc,4.36E-05,3.25E-04,1.92
Kdr,2.78E-07,4.36E-06,1.93
2610020H08Rik,1.34E-05,1.20E-04,1.93
Far2,2.97E-03,1.11E-02,1.93
Eif4ebp1,2.19E-07,3.58E-06,1.93
Jag2,3.85E-04,2.01E-03,1.93
Kcnq1ot1,4.31E-06,4.55E-05,1.93
Nhlrc3,1.93E-04,1.13E-03,1.93
Ubxn11,5.42E-03,1.82E-02,1.93
F3,2.58E-04,1.43E-03,1.93
Atf3,3.17E-05,2.49E-04,1.93
Sardh,2.63E-03,1.00E-02,1.93
Hspg2,8.86E-03,2.71E-02,1.93
Slitrk4,1.43E-02,4.00E-02,1.93
Gk5,2.05E-04,1.18E-03,1.93
Mapk8ip3,3.89E-08,7.83E-07,1.94
Msx1as,6.89E-03,2.21E-02,1.94
Synj2,4.16E-05,3.13E-04,1.94
Ptprn,7.92E-03,2.47E-02,1.94
Hist3h2a,5.72E-06,5.74E-05,1.94
Tep1,1.27E-06,1.57E-05,1.94
Scaper,1.43E-08,3.36E-07,1.94
Pim3,1.51E-12,9.60E-11,1.94
Piezo2,1.67E-03,6.90E-03,1.94
Efemp1,4.71E-05,3.46E-04,1.94
Man2b2,2.62E-07,4.17E-06,1.94
Sema3b,7.26E-06,7.02E-05,1.94
Gata3,1.10E-06,1.39E-05,1.94
Nuak1,3.95E-09,1.08E-07,1.94
Rarb,3.94E-11,1.78E-09,1.94
Zfp712,7.26E-05,4.95E-04,1.94
Itga3,2.19E-06,2.53E-05,1.94
Sema7a,1.08E-03,4.78E-03,1.95
Tox,2.12E-03,8.42E-03,1.95
4933408B17Rik,4.25E-03,1.48E-02,1.95
Aldoart1,3.58E-06,3.87E-05,1.95
Cdon,8.46E-08,1.54E-06,1.95
3830408C21Rik,9.48E-03,2.86E-02,1.95
Zfp455,6.14E-03,2.01E-02,1.95
Adam12,1.01E-05,9.35E-05,1.95
Plekhn1,7.05E-03,2.25E-02,1.95
Tef,1.65E-16,2.56E-14,1.95
Zfp36,2.64E-05,2.12E-04,1.95
Dapk2,3.78E-03,1.35E-02,1.95
Nos1ap,4.43E-03,1.54E-02,1.96
Alx1,1.49E-08,3.50E-07,1.96
Catsper2,9.66E-03,2.91E-02,1.96
Gucy1a2,7.02E-04,3.36E-03,1.96
Mgll,1.61E-02,4.39E-02,1.96
Lrig2,3.21E-10,1.18E-08,1.96
Asph,9.44E-25,3.93E-22,1.96
Fam126b,1.73E-06,2.06E-05,1.96
Slc40a1,4.30E-05,3.22E-04,1.96
Sema4g,6.84E-06,6.67E-05,1.96
Usp35,8.76E-07,1.15E-05,1.96
Zfp438,3.12E-05,2.46E-04,1.96
Arl13b,5.99E-10,2.04E-08,1.96
Pxdc1,3.35E-04,1.79E-03,1.97
AF529169,8.51E-03,2.62E-02,1.97
Appl2,4.75E-14,4.17E-12,1.97
Gm10560,3.62E-03,1.30E-02,1.97
Pard3b,2.73E-04,1.50E-03,1.97
Mgarp,2.18E-04,1.24E-03,1.97
Map3k2,4.85E-09,1.29E-07,1.97
Spata1,6.48E-03,2.10E-02,1.97
Tshz2,1.33E-07,2.31E-06,1.97
Tet1,1.50E-07,2.57E-06,1.97
Thsd4,1.90E-15,2.31E-13,1.97
Vps13b,4.49E-05,3.32E-04,1.97
Itga11,6.04E-03,1.98E-02,1.97
N4bp2l1,1.07E-02,3.16E-02,1.97
Ppargc1b,2.59E-03,9.91E-03,1.97
BC030307,6.37E-05,4.45E-04,1.98
Cnr1,8.16E-04,3.81E-03,1.98
Pkp2,3.07E-09,8.69E-08,1.98
Glg1,1.56E-05,1.37E-04,1.98
Cxcr4,1.18E-06,1.48E-05,1.98
Slc4a4,2.26E-06,2.59E-05,1.98
Zbtb4,4.01E-05,3.02E-04,1.98
Zc3h6,2.38E-04,1.33E-03,1.98
Prickle2,2.46E-07,3.95E-06,1.98
Egfr,5.18E-03,1.75E-02,1.98
Lcor,1.02E-02,3.05E-02,1.98
Vwa5a,9.79E-08,1.75E-06,1.98
Rnf13,1.88E-09,5.67E-08,1.98
Ankzf1,8.35E-13,5.64E-11,1.98
2610015P09Rik,2.17E-07,3.56E-06,1.99
Lrrc51,1.59E-05,1.39E-04,1.99
Zswim5,5.01E-06,5.14E-05,1.99
Rb1,2.21E-06,2.54E-05,1.99
Zfp759,5.97E-04,2.92E-03,1.99
Gm11602,3.93E-03,1.39E-02,1.99
4932438A13Rik,2.32E-06,2.64E-05,1.99
Fam78b,1.18E-05,1.07E-04,1.99
Syde2,6.91E-15,7.52E-13,1.99
Nab2,2.68E-11,1.27E-09,2.00
B3gnt9,1.36E-03,5.86E-03,2.00
Utrn,5.51E-07,7.87E-06,2.00
Tfpi,9.00E-12,4.70E-10,2.00
Dlg4,3.43E-09,9.58E-08,2.00
Fndc3a,8.57E-11,3.60E-09,2.00
Ctgf,3.28E-07,5.02E-06,2.00
Mst1r,1.66E-02,4.53E-02,2.00
Hgf,1.45E-03,6.15E-03,2.00
Pdlim2,5.87E-06,5.86E-05,2.00
Otud1,4.84E-04,2.44E-03,2.00
Tbl2,8.27E-12,4.37E-10,2.01
Fermt3,4.71E-05,3.45E-04,2.01
Cux2,2.50E-07,4.00E-06,2.01
Extl1,2.45E-03,9.48E-03,2.01
Prdm1,6.24E-05,4.37E-04,2.01
Kdm5a,4.38E-10,1.55E-08,2.01
Dlgap3,7.08E-03,2.26E-02,2.01
Lonrf1,1.32E-10,5.31E-09,2.01
Zfp382,4.33E-04,2.22E-03,2.01
Prnp,9.67E-06,8.99E-05,2.01
Irs2,5.53E-05,3.96E-04,2.01
Igf1r,1.97E-09,5.91E-08,2.02
Gltscr1l,4.70E-06,4.89E-05,2.02
Dhrs3,2.07E-05,1.73E-04,2.02
Lrrc48,8.49E-03,2.62E-02,2.02
Zfp383,2.34E-08,5.10E-07,2.02
Gm6297,1.37E-02,3.85E-02,2.02
Pnma2,1.73E-04,1.03E-03,2.03
2310008H04Rik,6.00E-12,3.31E-10,2.03
Nid2,1.95E-12,1.20E-10,2.03
Adcyap1r1,1.46E-03,6.18E-03,2.03
Asic4,1.38E-03,5.90E-03,2.03
Ppfia4,1.33E-07,2.31E-06,2.03
Apold1,2.73E-04,1.50E-03,2.03
Col5a2,1.61E-09,4.90E-08,2.03
Gpr20,1.25E-02,3.57E-02,2.03
C3,9.09E-03,2.77E-02,2.03
Rian,2.03E-09,6.06E-08,2.03
Tnc,1.42E-08,3.35E-07,2.04
Gpi1,9.32E-15,9.92E-13,2.04
Atf7,1.86E-03,7.55E-03,2.04
Nfat5,7.58E-03,2.38E-02,2.04
Per2,9.26E-08,1.67E-06,2.04
2410066E13Rik,1.89E-03,7.65E-03,2.04
Aebp1,1.76E-08,4.01E-07,2.04
Aff2,1.80E-04,1.06E-03,2.04
Fbxl4,3.82E-06,4.09E-05,2.05
Pold4,6.61E-06,6.47E-05,2.05
Cebpd,5.87E-04,2.88E-03,2.05
Cdcp1,4.44E-05,3.30E-04,2.05
Fbxl20,1.12E-14,1.14E-12,2.05
Nrp2,5.20E-16,7.09E-14,2.05
Dscam,1.56E-02,4.28E-02,2.05
Lrp2,5.98E-03,1.96E-02,2.05
Xrn1,1.55E-02,4.27E-02,2.05
Kif6,9.22E-03,2.80E-02,2.05
Jak3,5.49E-04,2.73E-03,2.05
Mrc1,3.34E-03,1.22E-02,2.06
Bach2,3.54E-08,7.22E-07,2.06
A530054K11Rik,2.76E-07,4.34E-06,2.06
Prr18,7.04E-03,2.25E-02,2.06
Creb3l1,2.11E-06,2.45E-05,2.06
Pcdhgb4,9.80E-04,4.43E-03,2.06
Heca,1.06E-09,3.42E-08,2.06
Pld5,1.22E-02,3.50E-02,2.06
Epha2,8.66E-07,1.14E-05,2.06
Bin2,5.03E-03,1.71E-02,2.06
Prkcq,1.49E-02,4.12E-02,2.07
Col1a2,1.56E-08,3.62E-07,2.07
Lamc2,1.34E-05,1.20E-04,2.07
Thbs1,8.03E-07,1.08E-05,2.07
Gys1,9.30E-10,3.03E-08,2.07
Apln,5.59E-05,4.00E-04,2.07
Pmaip1,5.48E-03,1.83E-02,2.08
Adam22,3.03E-05,2.39E-04,2.08
3632451O06Rik,1.18E-05,1.07E-04,2.08
Myo6,1.53E-10,6.02E-09,2.08
Ccdc82,1.02E-06,1.31E-05,2.08
Grik1,1.74E-02,4.69E-02,2.08
Zfp185,7.33E-12,3.96E-10,2.08
Sfi1,7.63E-07,1.03E-05,2.08
Nek1,1.06E-12,7.07E-11,2.08
Cnbd2,5.66E-03,1.88E-02,2.08
Tead1,6.17E-09,1.59E-07,2.08
Pde4c,1.15E-02,3.34E-02,2.08
Cacna1c,6.20E-05,4.36E-04,2.08
4930432K21Rik,7.00E-04,3.35E-03,2.08
Hs3st1,1.73E-03,7.08E-03,2.09
Slc6a9,3.90E-07,5.86E-06,2.09
Tnfrsf18,1.39E-02,3.90E-02,2.09
Pmp22,6.27E-09,1.61E-07,2.09
1700029J07Rik,8.47E-06,8.05E-05,2.09
Oprd1,9.57E-03,2.88E-02,2.09
Trpc1,1.41E-04,8.61E-04,2.10
Sdk2,9.23E-03,2.80E-02,2.10
Camk2n1,3.04E-06,3.34E-05,2.10
Insr,3.04E-14,2.79E-12,2.10
Ggn,7.34E-03,2.32E-02,2.11
Prrg1,4.77E-07,6.95E-06,2.11
Cd47,2.68E-07,4.25E-06,2.11
Foxn3,3.73E-05,2.85E-04,2.11
Gm3716,5.21E-05,3.76E-04,2.11
Rab27b,2.10E-05,1.75E-04,2.11
Zfp939,1.37E-03,5.90E-03,2.11
Uap1l1,7.78E-05,5.22E-04,2.12
Chst1,1.97E-08,4.44E-07,2.12
Prrg3,2.06E-10,7.90E-09,2.12
Col25a1,3.01E-08,6.28E-07,2.12
Gpc6,1.91E-14,1.87E-12,2.12
Csgalnact1,1.60E-05,1.39E-04,2.12
Dbp,3.32E-05,2.59E-04,2.12
Robo2,5.22E-08,1.01E-06,2.12
Mamld1,8.41E-03,2.60E-02,2.12
Tmem220,9.19E-03,2.79E-02,2.12
Hand1,1.21E-02,3.48E-02,2.13
4930581F22Rik,1.09E-03,4.82E-03,2.13
Lamb1,4.35E-13,3.20E-11,2.13
Gm20554,2.67E-03,1.02E-02,2.13
Atp2b4,2.91E-07,4.53E-06,2.13
Dok5,4.99E-05,3.63E-04,2.13
Cdhr1,1.50E-02,4.14E-02,2.13
Kit,1.43E-13,1.17E-11,2.14
Sla,9.82E-03,2.94E-02,2.14
Klhdc1,1.61E-02,4.40E-02,2.14
Sod3,4.46E-05,3.31E-04,2.14
Slc16a4,1.04E-02,3.09E-02,2.14
Gxylt2,6.70E-03,2.16E-02,2.15
Rhbdd1,1.57E-11,7.74E-10,2.15
Ddx58,2.23E-04,1.26E-03,2.15
Clk1,3.50E-09,9.68E-08,2.15
Cftr,1.62E-02,4.42E-02,2.15
Hectd2,1.41E-03,6.00E-03,2.15
Disc1,4.12E-03,1.44E-02,2.15
Itpr3,1.22E-05,1.10E-04,2.15
2810442I21Rik,4.80E-04,2.43E-03,2.15
Col6a2,1.92E-07,3.19E-06,2.15
Med12l,1.40E-05,1.25E-04,2.15
AI314831,7.32E-03,2.32E-02,2.15
Fam169a,1.05E-21,3.40E-19,2.16
Renbp,3.28E-11,1.51E-09,2.16
Klf7,6.19E-04,3.01E-03,2.16
T,1.50E-02,4.16E-02,2.16
Msh5,8.88E-04,4.09E-03,2.16
Galnt3,4.46E-04,2.28E-03,2.16
Lpp,3.78E-11,1.72E-09,2.17
Slc3a2,3.39E-19,7.71E-17,2.17
Setbp1,3.27E-07,5.01E-06,2.17
Gpr146,3.37E-06,3.67E-05,2.17
Fggy,2.66E-06,2.98E-05,2.17
Nkx3-2,2.47E-03,9.52E-03,2.17
Ccdc68,9.04E-04,4.15E-03,2.17
Fndc3b,1.73E-11,8.45E-10,2.18
Tfap2a,7.32E-06,7.07E-05,2.18
C030037D09Rik,1.06E-02,3.13E-02,2.18
Dzank1,2.09E-03,8.32E-03,2.18
Nbeal1,5.66E-03,1.88E-02,2.18
Dhtkd1,1.19E-05,1.08E-04,2.18
Usp11,4.15E-13,3.09E-11,2.18
Cd109,3.61E-09,9.94E-08,2.18
Ankrd12,8.38E-07,1.12E-05,2.18
Sbsn,3.10E-03,1.14E-02,2.18
