GeneID,p-value,FDR,FoldChange
Lbp,2.66E-04,1.47E-03,2.18
Mtss1,3.82E-12,2.29E-10,2.18
Dtna,3.22E-08,6.65E-07,2.18
Rlf,4.05E-17,6.88E-15,2.19
Cobll1,1.68E-10,6.56E-09,2.19
Igf1,6.41E-06,6.31E-05,2.19
Itga2b,4.81E-06,4.99E-05,2.19
Ccdc176,1.15E-02,3.33E-02,2.19
Optn,2.17E-05,1.79E-04,2.19
Aasdh,1.23E-08,2.95E-07,2.19
Zfp879,3.96E-03,1.40E-02,2.19
Spock1,5.53E-07,7.89E-06,2.19
Ogt,2.55E-16,3.61E-14,2.19
Slc38a3,1.97E-05,1.66E-04,2.20
Prss23,1.31E-08,3.13E-07,2.20
Ppp1r3b,6.21E-09,1.60E-07,2.20
Mme,8.36E-06,7.96E-05,2.20
Rbms3,7.36E-09,1.85E-07,2.20
Runx1,6.59E-04,3.18E-03,2.20
Cd36,2.23E-08,4.89E-07,2.21
Spsb1,1.60E-13,1.29E-11,2.21
Asah2,4.05E-08,8.12E-07,2.22
Klhl28,1.49E-05,1.32E-04,2.22
Usp53,3.34E-08,6.87E-07,2.22
Eml5,1.24E-04,7.75E-04,2.22
Nrbp2,3.11E-05,2.45E-04,2.22
Pvr,2.99E-13,2.27E-11,2.23
Arhgap29,1.93E-23,7.23E-21,2.23
Upk1a,3.25E-03,1.19E-02,2.23
Neil2,1.00E-04,6.48E-04,2.23
Rgs5,2.30E-06,2.62E-05,2.24
Ccdc85a,1.89E-03,7.63E-03,2.24
Pcsk6,1.48E-08,3.47E-07,2.24
Mbnl2,7.20E-11,3.05E-09,2.24
Cyp4f17,4.86E-05,3.55E-04,2.24
Epm2a,5.80E-03,1.91E-02,2.25
Wsb1,6.04E-24,2.38E-21,2.25
Rsbn1,4.43E-13,3.23E-11,2.25
Chd2,6.71E-09,1.71E-07,2.25
Dgkh,7.64E-03,2.40E-02,2.25
Cbx7,1.32E-05,1.19E-04,2.26
Aldoc,3.97E-07,5.94E-06,2.26
Grik4,2.29E-05,1.88E-04,2.26
Myct1,7.04E-06,6.83E-05,2.26
Lox,3.69E-05,2.82E-04,2.26
Sema6d,2.56E-08,5.49E-07,2.26
6720401G13Rik,1.92E-11,9.32E-10,2.26
Igfbp2,1.52E-13,1.23E-11,2.26
Zim1,6.36E-03,2.06E-02,2.26
Sdk1,1.18E-09,3.76E-08,2.26
Sema3g,5.96E-05,4.22E-04,2.26
Pgk1,1.27E-11,6.37E-10,2.27
F8,3.40E-05,2.64E-04,2.27
S100a6,8.50E-04,3.94E-03,2.27
Dio3,1.80E-03,7.34E-03,2.28
Fbxo41,1.84E-04,1.08E-03,2.28
Icam1,6.57E-08,1.24E-06,2.28
Ube2ql1,2.52E-05,2.04E-04,2.28
Nid1,1.27E-10,5.14E-09,2.28
Sqrdl,3.59E-03,1.29E-02,2.29
Psd,3.49E-04,1.85E-03,2.29
Plekhg1,2.73E-11,1.29E-09,2.29
Mybpc1,3.99E-05,3.01E-04,2.29
Map3k1,2.71E-22,9.43E-20,2.29
Gadd45b,7.67E-05,5.16E-04,2.30
Upk3bl,1.56E-02,4.30E-02,2.30
BC065397,1.29E-07,2.25E-06,2.30
Gfod1,2.19E-07,3.58E-06,2.30
Epha3,2.51E-06,2.83E-05,2.30
1600016N20Rik,4.44E-06,4.67E-05,2.30
Bnc1,8.12E-07,1.09E-05,2.30
Polk,8.21E-10,2.70E-08,2.30
Junb,6.47E-07,8.96E-06,2.30
Tgfbr2,5.88E-11,2.54E-09,2.30
Ncoa1,5.77E-09,1.50E-07,2.30
Egln1,2.93E-13,2.24E-11,2.30
Kcnh7,5.59E-03,1.86E-02,2.30
Pdk1,1.23E-10,5.01E-09,2.30
Maml3,1.02E-14,1.07E-12,2.31
F5,3.08E-03,1.14E-02,2.31
Clybl,4.43E-12,2.58E-10,2.31
Ptrf,2.38E-10,9.01E-09,2.31
Ushbp1,5.48E-07,7.84E-06,2.31
Poln,1.36E-02,3.84E-02,2.31
C920006O11Rik,7.40E-03,2.34E-02,2.31
Phc3,7.83E-07,1.06E-05,2.31
Efhc1,1.73E-04,1.02E-03,2.31
Zfp395,3.81E-20,9.74E-18,2.32
Neurog2,3.50E-03,1.26E-02,2.32
Gp1ba,5.79E-05,4.12E-04,2.32
Tmem74b,8.58E-03,2.64E-02,2.32
Kbtbd11,8.00E-09,1.99E-07,2.32
Gm129,1.08E-06,1.37E-05,2.32
Col16a1,1.52E-07,2.60E-06,2.33
P2rx4,1.09E-05,9.99E-05,2.33
Gpr50,7.99E-03,2.49E-02,2.33
Rnd1,1.56E-04,9.36E-04,2.33
Pax8,1.31E-02,3.72E-02,2.33
Neurl3,2.09E-05,1.75E-04,2.33
Spry1,1.04E-08,2.53E-07,2.33
Baiap3,7.97E-03,2.48E-02,2.33
Ikzf2,2.54E-09,7.35E-08,2.34
Ccng2,2.58E-10,9.69E-09,2.35
Bcl6,4.35E-03,1.51E-02,2.35
Timp3,4.80E-18,9.46E-16,2.35
Cdkl1,3.43E-04,1.82E-03,2.35
Pycr1,3.79E-15,4.28E-13,2.35
Prkab2,7.09E-20,1.72E-17,2.35
Ticam2,1.48E-02,4.10E-02,2.36
Echdc3,2.22E-04,1.26E-03,2.36
Arhgap6,6.59E-08,1.24E-06,2.36
Gpt2,2.02E-18,4.15E-16,2.36
Irak2,4.29E-08,8.56E-07,2.36
Nr3c1,1.31E-09,4.10E-08,2.36
P2ry1,1.25E-06,1.56E-05,2.36
Gabre,3.96E-04,2.06E-03,2.37
Itpr2,3.21E-08,6.64E-07,2.37
Il16,8.62E-05,5.68E-04,2.37
Fzd5,1.51E-05,1.33E-04,2.37
Kcnab1,5.82E-04,2.86E-03,2.37
Slc6a7,4.95E-03,1.68E-02,2.37
Sox17,9.33E-07,1.22E-05,2.37
Ppp2r2b,2.22E-09,6.58E-08,2.38
Grin2c,7.34E-06,7.08E-05,2.38
Chst15,4.28E-09,1.16E-07,2.38
Tmtc1,6.76E-06,6.61E-05,2.39
Tmem229a,2.04E-06,2.36E-05,2.39
Kcnh8,1.74E-02,4.70E-02,2.40
Zbtb16,4.71E-06,4.89E-05,2.40
Slc7a1,6.49E-23,2.31E-20,2.40
Hivep3,1.17E-02,3.39E-02,2.40
Tmem245,5.17E-06,5.27E-05,2.40
Lmbrd2,1.61E-04,9.62E-04,2.40
Cav1,3.26E-05,2.55E-04,2.41
Syne1,2.59E-08,5.54E-07,2.41
Nipal4,1.84E-02,4.89E-02,2.41
Sox6,2.33E-10,8.85E-09,2.41
Lsamp,9.50E-03,2.86E-02,2.42
Rasgrp2,3.78E-07,5.71E-06,2.42
Pappa,1.20E-06,1.51E-05,2.42
Ntrk3,1.77E-06,2.10E-05,2.42
Fam184b,2.82E-04,1.54E-03,2.42
1700001L05Rik,5.15E-07,7.44E-06,2.42
Gria1,1.33E-02,3.76E-02,2.42
Ppp4r1l-ps,1.64E-08,3.77E-07,2.42
Treml1,1.21E-02,3.48E-02,2.42
Cyp26a1,7.34E-07,9.99E-06,2.43
Hid1,1.91E-10,7.40E-09,2.43
Tanc2,7.34E-08,1.36E-06,2.43
Dennd2c,1.43E-06,1.75E-05,2.43
G0s2,6.30E-06,6.21E-05,2.44
Kdm4c,8.84E-16,1.13E-13,2.44
Nckap5,1.27E-04,7.87E-04,2.45
Cyr61,2.48E-13,1.92E-11,2.45
Ccdc159,5.91E-05,4.19E-04,2.45
Tubb1,2.01E-06,2.34E-05,2.45
Ptplad2,8.80E-07,1.15E-05,2.46
Zmym6,7.10E-17,1.16E-14,2.46
Ebf4,2.84E-10,1.06E-08,2.47
Cntd1,2.18E-04,1.24E-03,2.47
Itpkb,8.69E-11,3.64E-09,2.47
Slc7a2,2.50E-09,7.27E-08,2.47
Plod2,2.26E-25,1.18E-22,2.47
Cd93,4.23E-10,1.50E-08,2.48
Ccdc111,5.64E-12,3.16E-10,2.48
Syngr4,1.15E-02,3.34E-02,2.48
Rundc3b,1.26E-06,1.57E-05,2.48
Mgam,9.29E-03,2.81E-02,2.48
Grhl3,1.95E-05,1.64E-04,2.48
Abca5,7.65E-06,7.35E-05,2.48
Prnd,6.54E-06,6.42E-05,2.49
Veph1,1.72E-03,7.07E-03,2.49
4831440E17Rik,1.58E-03,6.60E-03,2.49
Lancl3,1.21E-02,3.48E-02,2.49
Lcp2,3.06E-03,1.13E-02,2.49
Lnpep,4.12E-03,1.44E-02,2.49
Hivep2,2.17E-09,6.44E-08,2.50
Crebl2,1.23E-06,1.54E-05,2.50
Upp1,4.53E-06,4.75E-05,2.51
Prune2,1.63E-06,1.95E-05,2.51
Zfp385c,1.76E-02,4.73E-02,2.52
Pck2,8.64E-18,1.59E-15,2.52
Vsig2,4.60E-04,2.34E-03,2.52
Klhl24,1.47E-12,9.42E-11,2.52
Tcp11l2,2.22E-06,2.56E-05,2.53
Fnip1,2.44E-13,1.90E-11,2.53
Fbln2,8.81E-10,2.88E-08,2.53
Pecam1,4.85E-12,2.78E-10,2.53
Syngr1,9.84E-05,6.37E-04,2.53
Btk,5.85E-03,1.93E-02,2.54
F2rl2,3.81E-04,1.99E-03,2.54
Gm2a,5.31E-14,4.64E-12,2.54
Shisa6,2.44E-04,1.37E-03,2.54
Ccdc60,2.68E-03,1.02E-02,2.54
Serpine1,1.10E-05,1.01E-04,2.54
Rasa4,9.78E-04,4.42E-03,2.55
Susd4,1.30E-12,8.41E-11,2.55
Pgm2,1.42E-11,7.08E-10,2.55
Adamts9,1.23E-21,3.89E-19,2.55
Arhgap18,5.37E-12,3.05E-10,2.55
Gm14207,9.80E-03,2.94E-02,2.56
Col20a1,2.27E-03,8.89E-03,2.56
2410006H16Rik,2.16E-25,1.17E-22,2.56
Htra1,5.84E-03,1.93E-02,2.56
1810010H24Rik,3.61E-03,1.30E-02,2.57
Begain,1.74E-07,2.93E-06,2.57
C130074G19Rik,5.21E-11,2.30E-09,2.57
Slc7a5,8.61E-21,2.54E-18,2.57
Adarb2,1.50E-02,4.16E-02,2.57
C030016D13Rik,6.91E-03,2.22E-02,2.57
Xkr4,1.88E-02,4.99E-02,2.58
Sgcd,1.26E-04,7.85E-04,2.59
Sema6b,3.45E-09,9.61E-08,2.59
Tec,2.47E-06,2.79E-05,2.59
Tet2,5.20E-09,1.38E-07,2.59
Rab39,1.27E-03,5.52E-03,2.60
Dlk2,5.44E-03,1.82E-02,2.61
Slc1a4,1.20E-15,1.50E-13,2.61
Ntrk1,8.30E-03,2.57E-02,2.62
Itpr1,3.34E-12,2.01E-10,2.62
Ptger4,9.34E-03,2.83E-02,2.62
Dll4,1.10E-07,1.94E-06,2.62
Tinagl1,6.51E-11,2.79E-09,2.62
Kcnj8,3.58E-03,1.29E-02,2.62
Sema3e,6.42E-08,1.22E-06,2.62
Fam196a,1.87E-02,4.97E-02,2.62
Xylt1,4.00E-04,2.07E-03,2.62
Anxa2,1.79E-16,2.74E-14,2.63
Col1a1,1.09E-10,4.51E-09,2.63
Cyp4f13,2.67E-04,1.47E-03,2.64
Gipr,1.81E-03,7.36E-03,2.64
Col9a2,1.81E-05,1.55E-04,2.64
Ttll10,7.75E-03,2.43E-02,2.65
Lrrc9,7.68E-04,3.62E-03,2.65
Dnahc11,7.19E-03,2.29E-02,2.65
Gbe1,2.95E-14,2.73E-12,2.65
Loxl2,4.67E-25,2.20E-22,2.66
Bgn,1.61E-30,2.35E-27,2.66
Cldn23,6.43E-03,2.08E-02,2.66
Rnf19a,6.04E-19,1.33E-16,2.66
Zfr2,8.40E-05,5.56E-04,2.67
Khnyn,5.24E-13,3.72E-11,2.67
Man1a,3.75E-15,4.28E-13,2.67
Zkscan2,1.32E-06,1.63E-05,2.68
Plag1,6.54E-11,2.79E-09,2.68
Crim1,4.49E-12,2.61E-10,2.68
Atf5,6.28E-28,6.54E-25,2.68
Fyb,4.61E-03,1.59E-02,2.69
Rapgef5,5.59E-09,1.46E-07,2.69
Fosl2,2.21E-16,3.19E-14,2.69
Arl4d,1.90E-10,7.39E-09,2.69
Jph1,3.61E-10,1.31E-08,2.70
Kcnb1,3.09E-04,1.67E-03,2.70
Nefh,2.42E-03,9.37E-03,2.70
Ap1s2,2.18E-30,2.89E-27,2.71
Olfr1372-ps1,1.64E-03,6.78E-03,2.72
Gp9,4.52E-03,1.56E-02,2.72
Grm8,2.66E-03,1.01E-02,2.72
Proser2,2.71E-09,7.74E-08,2.72
Fmo1,1.36E-05,1.21E-04,2.73
Gpr116,3.17E-09,8.95E-08,2.73
4933406C10Rik,1.03E-02,3.07E-02,2.73
Malat1,5.26E-04,2.62E-03,2.73
Pde8a,8.04E-08,1.47E-06,2.73
Adra2c,2.23E-03,8.77E-03,2.74
Foxi2,1.64E-03,6.78E-03,2.74
Isoc2b,1.36E-03,5.84E-03,2.74
Col12a1,4.65E-09,1.25E-07,2.74
Bnip3,1.55E-09,4.76E-08,2.74
Ncam1,3.06E-11,1.42E-09,2.75
Gmfg,1.35E-03,5.80E-03,2.75
Prelid2,8.51E-17,1.38E-14,2.76
Ror1,6.07E-07,8.51E-06,2.76
Zcwpw1,4.43E-15,4.93E-13,2.76
Pion,6.26E-05,4.39E-04,2.77
Abcc8,8.21E-05,5.46E-04,2.77
Dlx3,9.23E-09,2.26E-07,2.78
Hexb,4.14E-16,5.75E-14,2.78
Rgs17,2.87E-07,4.50E-06,2.78
Adamts2,2.10E-05,1.75E-04,2.79
Arhgef28,5.43E-10,1.86E-08,2.79
Grid1,3.99E-05,3.01E-04,2.79
Gp5,3.79E-04,1.99E-03,2.79
Chd5,3.45E-05,2.67E-04,2.79
Alox12,7.59E-06,7.29E-05,2.79
Prkcb,2.36E-09,6.90E-08,2.80
Ptprt,4.35E-03,1.51E-02,2.80
Fgf8,6.95E-05,4.79E-04,2.80
E130311K13Rik,1.60E-07,2.72E-06,2.80
Gdf6,2.26E-08,4.94E-07,2.80
Leprel1,7.44E-08,1.38E-06,2.80
Trim67,5.47E-03,1.83E-02,2.81
Maff,1.71E-12,1.07E-10,2.81
Nkx2-2,1.01E-02,3.02E-02,2.82
Slc22a3,7.76E-03,2.43E-02,2.82
Rslcan18,2.02E-04,1.17E-03,2.82
Espn,7.38E-08,1.37E-06,2.84
Hcn2,2.09E-03,8.31E-03,2.84
Clstn2,6.81E-03,2.19E-02,2.85
Tmem255a,6.56E-11,2.79E-09,2.86
Col14a1,5.81E-13,4.05E-11,2.86
Gpc5,7.51E-03,2.37E-02,2.86
Flt1,5.35E-12,3.05E-10,2.87
Carf,1.69E-07,2.85E-06,2.88
Acer2,3.33E-11,1.53E-09,2.88
Slc35d3,4.64E-04,2.36E-03,2.88
Itga1,4.22E-08,8.44E-07,2.88
Ptprm,2.39E-12,1.44E-10,2.88
Hmcn1,2.13E-04,1.22E-03,2.88
Pde2a,1.43E-19,3.37E-17,2.88
Col15a1,3.88E-07,5.82E-06,2.88
Clec9a,7.64E-05,5.14E-04,2.88
Col6a3,8.14E-04,3.80E-03,2.89
Tacstd2,4.06E-10,1.45E-08,2.89
Ace,7.81E-05,5.23E-04,2.89
Lama4,2.56E-10,9.65E-09,2.90
Rnf152,3.21E-10,1.18E-08,2.90
Grid2,2.29E-03,8.95E-03,2.91
Foxo3,6.22E-13,4.32E-11,2.92
Car12,2.70E-07,4.27E-06,2.92
Car7,1.38E-05,1.23E-04,2.93
St3gal1,1.05E-25,6.37E-23,2.93
Irx4,5.09E-04,2.55E-03,2.93
Ly6g6f,5.69E-03,1.89E-02,2.93
Hspa1b,2.27E-06,2.60E-05,2.94
Pdgfb,2.11E-11,1.01E-09,2.94
H2-Ab1,2.02E-05,1.69E-04,2.95
Atxn1,3.10E-07,4.79E-06,2.95
Mas1,9.93E-04,4.47E-03,2.95
Rgs22,5.65E-03,1.88E-02,2.98
Cacna1h,6.33E-05,4.43E-04,2.98
Cyp4b1,5.26E-03,1.77E-02,2.98
Ascl2,3.37E-03,1.22E-02,2.99
Itgb3,6.04E-25,2.59E-22,2.99
Gm6277,2.56E-03,9.83E-03,3.00
Rad9b,1.06E-09,3.42E-08,3.00
Tchh,2.59E-06,2.92E-05,3.01
Robo3,1.11E-02,3.26E-02,3.01
Acad10,5.66E-10,1.94E-08,3.01
Lhx1,8.95E-04,4.11E-03,3.02
Grik3,2.94E-03,1.09E-02,3.02
Pik3ip1,7.58E-13,5.21E-11,3.02
Vdr,7.36E-05,5.00E-04,3.03
Igfbp3,1.47E-18,3.10E-16,3.03
Sez6l,1.67E-06,1.99E-05,3.05
Ccser1,1.68E-03,6.94E-03,3.06
Col6a1,7.13E-16,9.46E-14,3.07
Actg2,1.34E-04,8.25E-04,3.07
Ahnak,9.77E-27,7.12E-24,3.08
Egr1,5.68E-07,8.07E-06,3.09
Vstm5,7.97E-04,3.73E-03,3.09
Slc24a1,3.73E-03,1.33E-02,3.09
Gdf10,5.73E-04,2.83E-03,3.10
Meg3,5.92E-12,3.30E-10,3.10
Pi15,1.13E-03,5.00E-03,3.10
Kcnc1,2.17E-03,8.58E-03,3.11
Onecut2,6.09E-07,8.53E-06,3.12
Pygl,2.19E-16,3.19E-14,3.12
Dlc1,7.17E-28,6.97E-25,3.12
Sfmbt2,1.42E-09,4.41E-08,3.13
Slc2a1,3.16E-26,2.20E-23,3.14
Mpl,4.92E-04,2.48E-03,3.14
Gabrp,8.24E-04,3.84E-03,3.15
Stag3,1.61E-08,3.72E-07,3.16
Hk2,6.48E-26,4.11E-23,3.17
C77370,2.21E-05,1.82E-04,3.17
A330076H08Rik,2.91E-03,1.09E-02,3.17
Abcc9,3.50E-11,1.61E-09,3.17
Plekha2,1.84E-23,7.08E-21,3.18
Kynu,1.41E-04,8.63E-04,3.18
DQ267102,2.01E-03,8.06E-03,3.18
Kdm3a,2.88E-22,9.76E-20,3.18
Asns,3.36E-25,1.69E-22,3.20
Hoxc6,5.27E-03,1.77E-02,3.21
Ndrg2,6.03E-12,3.31E-10,3.21
Gfra3,1.25E-03,5.43E-03,3.21
Cdh13,2.57E-07,4.10E-06,3.23
Postn,2.91E-03,1.09E-02,3.24
Jdp2,2.32E-23,8.45E-21,3.24
Adamtsl1,3.10E-07,4.79E-06,3.24
Fam129a,8.94E-06,8.40E-05,3.25
Trank1,3.22E-03,1.18E-02,3.26
Slc7a11,6.08E-09,1.58E-07,3.27
Ctnna3,1.60E-03,6.65E-03,3.28
Esm1,6.05E-08,1.16E-06,3.28
Ntrk2,3.00E-20,7.82E-18,3.32
Pfkfb3,2.90E-20,7.70E-18,3.33
Bhlhe41,2.87E-09,8.15E-08,3.34
Samd9l,2.03E-03,8.13E-03,3.35
3110057O12Rik,4.19E-17,7.03E-15,3.35
Ddit3,2.93E-21,8.89E-19,3.35
Cpeb1,2.03E-04,1.17E-03,3.36
Ppp1r3c,1.43E-12,9.16E-11,3.36
Krt19,2.02E-14,1.96E-12,3.38
AU018091,3.21E-04,1.72E-03,3.38
Tnfaip3,4.57E-10,1.61E-08,3.41
Cyp26c1,5.87E-03,1.93E-02,3.41
Galnt12,2.12E-07,3.49E-06,3.43
Ctla2b,7.07E-06,6.86E-05,3.45
Stab1,3.05E-13,2.30E-11,3.46
Camk1d,1.56E-07,2.65E-06,3.46
Lims2,2.31E-06,2.63E-05,3.46
Adora2a,5.41E-12,3.06E-10,3.47
Kcnt2,2.55E-04,1.42E-03,3.48
Ankrd37,4.34E-05,3.24E-04,3.49
Galnt14,6.71E-05,4.65E-04,3.49
Edil3,8.86E-16,1.13E-13,3.49
Sorcs3,9.28E-08,1.67E-06,3.50
Plek,1.44E-21,4.46E-19,3.50
Pbld2,4.67E-06,4.86E-05,3.52
Onecut1,1.02E-05,9.39E-05,3.54
Adhfe1,8.20E-05,5.46E-04,3.54
Sesn2,4.51E-22,1.50E-19,3.54
Tenm2,2.01E-13,1.59E-11,3.55
Adamts8,1.00E-06,1.29E-05,3.56
Rgs11,3.78E-06,4.05E-05,3.59
Cbln3,1.16E-07,2.04E-06,3.60
Map3k15,4.64E-13,3.37E-11,3.60
Klhl3,2.46E-08,5.31E-07,3.64
Pparg,4.65E-03,1.60E-02,3.64
Adgb,3.67E-05,2.81E-04,3.66
Edn1,1.99E-16,2.96E-14,3.66
Hrk,1.04E-10,4.30E-09,3.66
Neat1,4.89E-10,1.70E-08,3.67
Eltd1,2.33E-15,2.78E-13,3.68
Nell1,2.03E-07,3.36E-06,3.70
Fabp4,1.43E-04,8.72E-04,3.70
2310002F09Rik,1.04E-03,4.63E-03,3.71
Rarres2,1.35E-07,2.34E-06,3.72
Cdh23,7.06E-05,4.84E-04,3.72
Jhdm1d,1.93E-27,1.56E-24,3.73
Amy1,7.14E-05,4.89E-04,3.73
Sh3rf2,6.89E-05,4.76E-04,3.77
Pcdh15,4.87E-04,2.46E-03,3.78
Slc16a6,1.50E-16,2.40E-14,3.80
Phyhd1,3.67E-15,4.25E-13,3.83
Kcne3,5.17E-13,3.70E-11,3.84
Sostdc1,1.25E-09,3.96E-08,3.85
Thsd7a,3.89E-09,1.06E-07,3.85
Slc2a3,2.69E-41,7.85E-38,3.86
Arrdc3,2.49E-27,1.91E-24,3.87
Cacna1e,3.55E-05,2.74E-04,3.88
Prss35,1.02E-14,1.06E-12,3.89
Car9,4.33E-11,1.95E-09,3.90
Diras2,3.53E-08,7.22E-07,3.90
Ddit4,2.73E-07,4.31E-06,3.90
Adamts17,1.51E-14,1.51E-12,3.92
Il10ra,1.23E-04,7.67E-04,3.94
Cyp2s1,1.56E-16,2.45E-14,3.94
Crebrf,5.60E-17,9.28E-15,3.95
Ier3,2.64E-04,1.46E-03,3.97
Fgf15,1.78E-05,1.53E-04,3.99
Ppil6,3.56E-05,2.75E-04,3.99
Gria2,3.53E-08,7.22E-07,4.01
P4ha1,2.16E-25,1.17E-22,4.01
Tmem45a,6.73E-12,3.66E-10,4.02
Fhad1,3.51E-05,2.71E-04,4.08
9530051G07Rik,7.30E-05,4.97E-04,4.10
Pde4b,4.97E-25,2.26E-22,4.11
Plau,2.83E-20,7.65E-18,4.11
Gdap10,1.25E-08,2.98E-07,4.15
Wdr93,1.31E-04,8.11E-04,4.16
Kcnj2,1.10E-15,1.40E-13,4.20
Robo4,6.96E-18,1.32E-15,4.20
Pf4,6.06E-18,1.18E-15,4.21
Adm2,3.09E-06,3.39E-05,4.21
Tac2,3.26E-13,2.45E-11,4.27
Nrxn3,8.27E-09,2.04E-07,4.31
P4ha2,7.32E-20,1.75E-17,4.40
8430408G22Rik,4.87E-11,2.17E-09,4.46
Lyve1,4.40E-11,1.98E-09,4.51
Stc1,1.11E-14,1.14E-12,4.52
Nxph4,4.58E-09,1.23E-07,4.54
4930565N06Rik,1.01E-04,6.49E-04,4.55
Wbscr17,1.21E-10,4.97E-09,4.57
Adm,9.77E-21,2.79E-18,4.60
Vegfa,3.21E-35,6.68E-32,4.64
Trib3,2.62E-14,2.50E-12,4.66
March10,3.30E-05,2.58E-04,4.68
Fos,9.00E-08,1.62E-06,4.74
Fn3k,2.48E-06,2.81E-05,4.90
Muc2,9.03E-05,5.93E-04,4.94
Cox4i2,6.44E-20,1.61E-17,5.16
Aire,8.66E-06,8.19E-05,5.17
P2rx3,1.20E-20,3.35E-18,5.21
Egln3,3.18E-18,6.36E-16,5.29
Bhlhe40,4.42E-07,6.54E-06,5.30
Vldlr,7.70E-28,7.02E-25,5.35
Sncb,7.15E-06,6.93E-05,5.41
Dpp6,4.89E-32,7.92E-29,5.56
Islr2,4.97E-08,9.73E-07,5.64
Stab2,6.41E-16,8.58E-14,5.65
Fgf11,2.32E-07,3.77E-06,5.66
Unc13a,7.24E-09,1.82E-07,5.69
Chac1,4.20E-05,3.15E-04,5.72
Ndufa4l2,5.96E-08,1.14E-06,5.76
A2m,1.39E-05,1.24E-04,5.86
Ero1l,1.33E-42,6.49E-39,6.02
Fgf23,4.54E-06,4.76E-05,6.33
Ndrg1,3.99E-29,4.85E-26,6.36
Hspa1a,1.12E-08,2.70E-07,6.55
Ppbp,1.57E-12,9.93E-11,6.59
Pfkp,6.58E-14,5.67E-12,6.68
Cyp26b1,1.20E-38,2.92E-35,6.79
Mef2b,2.28E-09,6.72E-08,6.86
2610528A11Rik,1.71E-09,5.19E-08,7.08
Stc2,1.57E-11,7.74E-10,7.11
Cnr2,2.36E-12,1.44E-10,7.99
Aldh1l2,2.12E-55,3.09E-51,8.71
Rora,1.39E-14,1.39E-12,8.90
Nrn1,5.94E-25,2.59E-22,11.73
Slc7a3,1.36E-50,9.94E-47,12.31
